"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2018 00:00 - 01.01.2018 00:15 (CET/CEST)","4709","n/e","6671","390","2408","1759","187","n/e","n/e","26","414","1066","1768","140","n/e","6345","435","148","0","657","2969","27990"
"Germany (DE)","01.01.2018 00:15 - 01.01.2018 00:30 (CET/CEST)","4698","n/e","6712","505","2411","1724","187","n/e","n/e","26","259","1368","1750","42","n/e","5956","435","148","0","652","2988","28571"
"Germany (DE)","01.01.2018 00:30 - 01.01.2018 00:45 (CET/CEST)","4695","n/e","6739","505","2411","1687","187","n/e","n/e","26","210","1432","1744","40","n/e","5753","435","147","0","657","2917","28864"
"Germany (DE)","01.01.2018 00:45 - 01.01.2018 01:00 (CET/CEST)","4691","n/e","6773","505","2395","1674","187","n/e","n/e","26","414","1493","1694","45","n/e","5361","435","144","0","657","2783","29089"
"Germany (DE)","01.01.2018 01:00 - 01.01.2018 01:15 (CET/CEST)","4689","n/e","6828","505","2387","1609","188","n/e","n/e","26","757","1485","1633","44","n/e","4942","435","147","0","656","2895","29437"
"Germany (DE)","01.01.2018 01:15 - 01.01.2018 01:30 (CET/CEST)","4661","n/e","6837","539","2415","1590","188","n/e","n/e","26","880","1678","1630","44","n/e","4790","435","147","0","656","3005","29486"
"Germany (DE)","01.01.2018 01:30 - 01.01.2018 01:45 (CET/CEST)","4661","n/e","6789","539","2431","1605","188","n/e","n/e","26","352","1763","1627","43","n/e","4647","434","146","0","637","3032","29743"
"Germany (DE)","01.01.2018 01:45 - 01.01.2018 02:00 (CET/CEST)","4667","n/e","6786","539","2392","1633","187","n/e","n/e","26","256","2011","1628","44","n/e","4637","433","146","0","604","3059","30136"
"Germany (DE)","01.01.2018 02:00 - 01.01.2018 02:15 (CET/CEST)","4655","n/e","6808","539","2377","1669","188","n/e","n/e","26","708","2306","1626","45","n/e","4579","433","145","0","593","3089","30262"
"Germany (DE)","01.01.2018 02:15 - 01.01.2018 02:30 (CET/CEST)","4662","n/e","6774","494","2397","1671","188","n/e","n/e","26","551","2587","1624","44","n/e","4560","433","145","0","593","3092","30298"
"Germany (DE)","01.01.2018 02:30 - 01.01.2018 02:45 (CET/CEST)","4659","n/e","6757","494","2411","1711","188","n/e","n/e","26","305","3042","1622","44","n/e","4565","433","144","0","600","3102","30044"
"Germany (DE)","01.01.2018 02:45 - 01.01.2018 03:00 (CET/CEST)","4668","n/e","6724","494","2408","1682","187","n/e","n/e","26","81","3361","1621","47","n/e","4660","428","145","0","596","3090","30145"
"Germany (DE)","01.01.2018 03:00 - 01.01.2018 03:15 (CET/CEST)","4657","n/e","6757","494","2406","1694","187","n/e","n/e","26","77","3624","1618","43","n/e","4906","428","145","0","597","3084","30815"
"Germany (DE)","01.01.2018 03:15 - 01.01.2018 03:30 (CET/CEST)","4655","n/e","6715","464","2422","1682","187","n/e","n/e","26","64","3927","1613","45","n/e","4898","428","145","0","586","3131","31081"
"Germany (DE)","01.01.2018 03:30 - 01.01.2018 03:45 (CET/CEST)","4658","n/e","6724","464","2428","1671","187","n/e","n/e","25","61","3851","1612","41","n/e","4900","428","145","0","587","3149","31156"
