"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2021 00:00 - 01.01.2021 00:15 (CET/CEST)","4495","n/e","11594","n/e","6875","3749","404","n/e","n/e","31","291","318","1165","65","n/e","8137","455","184","1","783","340","4204"
"Germany (DE)","01.01.2021 00:15 - 01.01.2021 00:30 (CET/CEST)","4481","n/e","11618","n/e","6941","3488","406","n/e","n/e","31","380","330","1165","36","n/e","8145","454","181","1","784","352","4063"
"Germany (DE)","01.01.2021 00:30 - 01.01.2021 00:45 (CET/CEST)","4476","n/e","11617","n/e","6949","3317","406","n/e","n/e","31","328","434","1167","25","n/e","8147","454","181","1","776","405","3785"
"Germany (DE)","01.01.2021 00:45 - 01.01.2021 01:00 (CET/CEST)","4472","n/e","11605","n/e","6927","3221","404","n/e","n/e","31","390","471","1167","22","n/e","8150","454","182","1","770","435","3661"
"Germany (DE)","01.01.2021 01:00 - 01.01.2021 01:15 (CET/CEST)","4453","n/e","11644","n/e","6732","3140","406","n/e","n/e","31","623","231","1164","73","n/e","8150","454","182","1","778","423","3678"
"Germany (DE)","01.01.2021 01:15 - 01.01.2021 01:30 (CET/CEST)","4451","n/e","11593","n/e","6669","3035","406","n/e","n/e","31","523","210","1162","23","n/e","8146","454","181","1","766","412","3592"
"Germany (DE)","01.01.2021 01:30 - 01.01.2021 01:45 (CET/CEST)","4450","n/e","11592","n/e","6671","2977","404","n/e","n/e","31","493","385","1157","18","n/e","8153","454","183","1","779","381","3471"
"Germany (DE)","01.01.2021 01:45 - 01.01.2021 02:00 (CET/CEST)","4458","n/e","11582","n/e","6680","3027","404","n/e","n/e","31","435","448","1153","21","n/e","8152","454","183","1","785","362","3372"
"Germany (DE)","01.01.2021 02:00 - 01.01.2021 02:15 (CET/CEST)","4445","n/e","11633","n/e","6622","3105","406","n/e","n/e","31","400","1507","1146","24","n/e","8156","454","184","1","781","320","3304"
"Germany (DE)","01.01.2021 02:15 - 01.01.2021 02:30 (CET/CEST)","4441","n/e","11640","n/e","6592","3079","406","n/e","n/e","31","260","1576","1143","14","n/e","8161","454","186","1","775","304","3253"
