"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2021 02:30 - 01.01.2021 02:45 (CET/CEST)","4443","n/e","11853","n/e","6589","3070","406","n/e","n/e","30","18","1971","1142","21","n/e","8158","454","186","1","769","292","3179"
"Germany (DE)","01.01.2021 02:45 - 01.01.2021 03:00 (CET/CEST)","4433","n/e","11908","n/e","6541","3015","404","n/e","n/e","30","2","2197","1140","14","n/e","8151","454","188","1","757","305","3056"
"Germany (DE)","01.01.2021 03:00 - 01.01.2021 03:15 (CET/CEST)","4426","n/e","12090","n/e","6437","2926","404","n/e","n/e","30","2","3066","1138","81","n/e","8145","454","188","1","770","307","2966"
"Germany (DE)","01.01.2021 03:15 - 01.01.2021 03:30 (CET/CEST)","4418","n/e","12218","n/e","6435","2869","406","n/e","n/e","30","2","3397","1138","29","n/e","8158","454","188","1","754","310","2820"
"Germany (DE)","01.01.2021 03:30 - 01.01.2021 03:45 (CET/CEST)","4426","n/e","12453","n/e","6399","2829","406","n/e","n/e","30","2","3927","1141","28","n/e","8155","454","188","1","757","324","2684"
"Germany (DE)","01.01.2021 03:45 - 01.01.2021 04:00 (CET/CEST)","4429","n/e","12589","n/e","6315","2786","406","n/e","n/e","30","2","4309","1142","14","n/e","8157","455","188","1","766","336","2605"
"Germany (DE)","01.01.2021 04:00 - 01.01.2021 04:15 (CET/CEST)","4430","n/e","12459","n/e","6334","2733","404","n/e","n/e","29","1","4613","1141","19","n/e","8154","464","191","1","731","306","2568"
"Germany (DE)","01.01.2021 04:15 - 01.01.2021 04:30 (CET/CEST)","4435","n/e","12366","n/e","6349","2702","404","n/e","n/e","30","9","4292","1139","17","n/e","8154","466","193","1","725","300","2476"
"Germany (DE)","01.01.2021 04:30 - 01.01.2021 04:45 (CET/CEST)","4428","n/e","12385","n/e","6362","2696","407","n/e","n/e","29","7","4139","1136","15","n/e","8145","465","192","1","767","293","2427"
"Germany (DE)","01.01.2021 04:45 - 01.01.2021 05:00 (CET/CEST)","4430","n/e","12370","n/e","6287","2722","404","n/e","n/e","29","7","4271","1133","13","n/e","8149","465","193","1","784","286","2378"
"Germany (DE)","01.01.2021 05:00 - 01.01.2021 05:15 (CET/CEST)","4443","n/e","12506","n/e","6387","2724","405","n/e","n/e","29","76","3167","1130","18","n/e","8156","465","193","1","784","347","2273"
"Germany (DE)","01.01.2021 05:15 - 01.01.2021 05:30 (CET/CEST)","4466","n/e","12592","n/e","6440","2707","406","n/e","n/e","29","39","3306","1130","17","n/e","8145","465","189","1","770","411","2147"
"Germany (DE)","01.01.2021 05:30 - 01.01.2021 05:45 (CET/CEST)","4453","n/e","12764","n/e","6436","2753","404","n/e","n/e","29","17","3464","1128","14","n/e","8145","466","190","1","779","471","2079"
"Germany (DE)","01.01.2021 05:45 - 01.01.2021 06:00 (CET/CEST)","4442","n/e","12936","n/e","6438","2762","405","n/e","n/e","29","2","4012","1128","12","n/e","8155","468","191","1","779","499","1977"
"Germany (DE)","01.01.2021 06:00 - 01.01.2021 06:15 (CET/CEST)","4478","n/e","13146","n/e","6476","2845","406","n/e","n/e","29","83","3199","1126","22","n/e","8154","469","190","1","792","528","2018"
"Germany (DE)","01.01.2021 06:15 - 01.01.2021 06:30 (CET/CEST)","4492","n/e","13202","n/e","6467","2795","406","n/e","n/e","29","2","3390","1125","33","n/e","8154","469","190","1","775","553","1998"
"Germany (DE)","01.01.2021 06:30 - 01.01.2021 06:45 (CET/CEST)","4494","n/e","13075","n/e","6466","2843","407","n/e","n/e","29","24","2976","1124","35","n/e","8156","469","190","1","783","515","2034"
"Germany (DE)","01.01.2021 06:45 - 01.01.2021 07:00 (CET/CEST)","4501","n/e","12781","n/e","6444","2863","406","n/e","n/e","29","250","2781","1127","37","n/e","8154","468","190","1","793","445","1985"
"Germany (DE)","01.01.2021 07:00 - 01.01.2021 07:15 (CET/CEST)","4540","n/e","12487","n/e","6496","2854","409","n/e","n/e","29","488","2516","1127","28","n/e","8151","468","190","1","793","420","1909"
"Germany (DE)","01.01.2021 07:15 - 01.01.2021 07:30 (CET/CEST)","4564","n/e","12433","n/e","6509","2900","410","n/e","n/e","29","1007","2114","1129","23","n/e","8153","468","190","1","779","399","1976"
"Germany (DE)","01.01.2021 07:30 - 01.01.2021 07:45 (CET/CEST)","4574","n/e","12455","n/e","6519","2996","409","n/e","n/e","29","1089","1876","1128","28","n/e","8153","468","190","1","787","383","1990"
"Germany (DE)","01.01.2021 07:45 - 01.01.2021 08:00 (CET/CEST)","4567","n/e","12515","n/e","6632","3058","406","n/e","n/e","29","1072","1828","1126","29","n/e","8154","468","190","2","779","355","1989"
"Germany (DE)","01.01.2021 08:00 - 01.01.2021 08:15 (CET/CEST)","4618","n/e","12522","n/e","6854","3091","407","n/e","n/e","29","64","1748","1126","21","n/e","8155","468","191","23","771","382","2019"
"Germany (DE)","01.01.2021 08:15 - 01.01.2021 08:30 (CET/CEST)","4638","n/e","12445","n/e","6874","3082","409","n/e","n/e","29","14","1702","1124","20","n/e","8157","468","190","83","767","376","2048"
"Germany (DE)","01.01.2021 08:30 - 01.01.2021 08:45 (CET/CEST)","4661","n/e","12422","n/e","6928","3085","408","n/e","n/e","28","37","1698","1120","19","n/e","8161","468","191","211","778","348","2108"
"Germany (DE)","01.01.2021 08:45 - 01.01.2021 09:00 (CET/CEST)","4668","n/e","12354","n/e","7080","3091","406","n/e","n/e","28","159","1570","1122","50","n/e","8157","468","191","450","776","332","2105"
"Germany (DE)","01.01.2021 09:00 - 01.01.2021 09:15 (CET/CEST)","4638","n/e","12223","n/e","7314","3087","407","n/e","n/e","28","3","1797","1120","23","n/e","8159","468","191","763","773","270","2163"
"Germany (DE)","01.01.2021 09:15 - 01.01.2021 09:30 (CET/CEST)","4644","n/e","12199","n/e","7367","3074","409","n/e","n/e","28","188","1592","1125","23","n/e","8159","468","191","1112","776","226","2169"
"Germany (DE)","01.01.2021 09:30 - 01.01.2021 09:45 (CET/CEST)","4675","n/e","12218","n/e","7454","3100","408","n/e","n/e","28","137","1273","1131","45","n/e","8160","468","193","1528","778","218","2100"
"Germany (DE)","01.01.2021 09:45 - 01.01.2021 10:00 (CET/CEST)","4664","n/e","12038","n/e","7560","3079","406","n/e","n/e","28","171","651","1131","47","n/e","8162","468","194","1936","781","279","2049"
"Germany (DE)","01.01.2021 10:00 - 01.01.2021 10:15 (CET/CEST)","4668","n/e","11854","n/e","7896","3068","406","n/e","n/e","27","47","1529","1132","20","n/e","8163","468","195","2357","793","392","2035"
"Germany (DE)","01.01.2021 10:15 - 01.01.2021 10:30 (CET/CEST)","4681","n/e","11786","n/e","7930","3060","408","n/e","n/e","27","47","1099","1134","22","n/e","8162","468","195","2748","797","454","1949"
"Germany (DE)","01.01.2021 10:30 - 01.01.2021 10:45 (CET/CEST)","4680","n/e","11388","n/e","7989","3051","409","n/e","n/e","27","69","488","1132","25","n/e","8160","468","195","3150","789","464","1848"
"Germany (DE)","01.01.2021 10:45 - 01.01.2021 11:00 (CET/CEST)","4700","n/e","11403","n/e","8063","3052","407","n/e","n/e","27","221","211","1130","31","n/e","8160","468","195","3493","773","477","1817"
"Germany (DE)","01.01.2021 11:00 - 01.01.2021 11:15 (CET/CEST)","4694","n/e","11402","n/e","8137","3044","406","n/e","n/e","27","101","713","1132","20","n/e","8166","468","195","3820","773","489","1750"
"Germany (DE)","01.01.2021 11:15 - 01.01.2021 11:30 (CET/CEST)","4685","n/e","11371","n/e","8467","3034","406","n/e","n/e","27","139","483","1131","21","n/e","8162","468","195","4117","765","516","1674"
"Germany (DE)","01.01.2021 11:30 - 01.01.2021 11:45 (CET/CEST)","4692","n/e","11390","n/e","8853","3033","407","n/e","n/e","27","107","886","1135","28","n/e","8159","468","196","4366","773","604","1554"
"Germany (DE)","01.01.2021 11:45 - 01.01.2021 12:00 (CET/CEST)","4675","n/e","10866","n/e","8865","3066","409","n/e","n/e","27","116","354","1137","25","n/e","8154","468","196","4538","765","621","1489"
"Germany (DE)","01.01.2021 12:00 - 01.01.2021 12:15 (CET/CEST)","4610","n/e","10859","n/e","8859","3132","409","n/e","n/e","27","421","329","1140","26","n/e","8152","468","196","4748","792","619","1430"
"Germany (DE)","01.01.2021 12:15 - 01.01.2021 12:30 (CET/CEST)","4602","n/e","10861","n/e","8865","3179","406","n/e","n/e","27","336","262","1140","23","n/e","8153","468","196","4824","778","642","1330"
"Germany (DE)","01.01.2021 12:30 - 01.01.2021 12:45 (CET/CEST)","4610","n/e","10881","n/e","8924","3219","410","n/e","n/e","27","346","288","1145","24","n/e","8154","468","196","4777","776","698","1266"
"Germany (DE)","01.01.2021 12:45 - 01.01.2021 13:00 (CET/CEST)","4606","n/e","10881","n/e","8896","3215","415","n/e","n/e","27","244","248","1146","25","n/e","8153","468","196","4669","761","716","1199"
"Germany (DE)","01.01.2021 13:00 - 01.01.2021 13:15 (CET/CEST)","4575","n/e","10890","n/e","8837","3195","418","n/e","n/e","27","209","310","1144","24","n/e","8154","468","196","4481","752","768","1135"
"Germany (DE)","01.01.2021 13:15 - 01.01.2021 13:30 (CET/CEST)","4542","n/e","10870","n/e","8844","3159","418","n/e","n/e","27","205","384","1142","25","n/e","8154","468","196","4300","782","813","1142"
"Germany (DE)","01.01.2021 13:30 - 01.01.2021 13:45 (CET/CEST)","4546","n/e","10867","n/e","8872","3135","416","n/e","n/e","27","196","363","1143","26","n/e","8153","468","196","4066","782","892","1133"
"Germany (DE)","01.01.2021 13:45 - 01.01.2021 14:00 (CET/CEST)","4540","n/e","10873","n/e","8883","3112","416","n/e","n/e","27","177","515","1141","27","n/e","8153","468","196","3732","785","872","1141"
"Germany (DE)","01.01.2021 14:00 - 01.01.2021 14:15 (CET/CEST)","4523","n/e","10852","n/e","8856","3080","416","n/e","n/e","27","254","490","1137","28","n/e","8153","468","196","3304","784","820","1153"
"Germany (DE)","01.01.2021 14:15 - 01.01.2021 14:30 (CET/CEST)","4523","n/e","10851","n/e","9006","3091","416","n/e","n/e","27","160","609","1135","29","n/e","8155","468","196","2878","785","918","1213"
"Germany (DE)","01.01.2021 14:30 - 01.01.2021 14:45 (CET/CEST)","4540","n/e","10836","n/e","9052","3074","416","n/e","n/e","27","153","525","1134","27","n/e","8156","468","196","2438","780","813","1255"
"Germany (DE)","01.01.2021 14:45 - 01.01.2021 15:00 (CET/CEST)","4537","n/e","10833","n/e","9249","3107","416","n/e","n/e","27","253","406","1132","28","n/e","8155","468","195","1990","788","650","1301"
"Germany (DE)","01.01.2021 15:00 - 01.01.2021 15:15 (CET/CEST)","4548","n/e","10822","n/e","9234","3336","416","n/e","n/e","27","255","760","1133","24","n/e","8157","468","196","1538","761","606","1437"
"Germany (DE)","01.01.2021 15:15 - 01.01.2021 15:30 (CET/CEST)","4556","n/e","10857","n/e","9306","3456","416","n/e","n/e","27","247","734","1132","28","n/e","8157","468","195","1079","773","653","1484"
"Germany (DE)","01.01.2021 15:30 - 01.01.2021 15:45 (CET/CEST)","4558","n/e","10873","n/e","9488","3505","416","n/e","n/e","27","257","611","1132","31","n/e","8158","468","193","673","782","718","1576"
"Germany (DE)","01.01.2021 15:45 - 01.01.2021 16:00 (CET/CEST)","4545","n/e","10870","n/e","9603","3499","416","n/e","n/e","27","261","163","1129","44","n/e","8155","468","193","345","782","696","1695"
"Germany (DE)","01.01.2021 16:00 - 01.01.2021 16:15 (CET/CEST)","4610","n/e","10828","n/e","9763","3594","416","n/e","n/e","27","1658","664","1132","97","n/e","8151","468","195","133","790","734","1846"
"Germany (DE)","01.01.2021 16:15 - 01.01.2021 16:30 (CET/CEST)","4638","n/e","10836","n/e","9823","3666","416","n/e","n/e","28","2047","99","1132","66","n/e","8159","468","195","32","792","845","2022"
"Germany (DE)","01.01.2021 16:30 - 01.01.2021 16:45 (CET/CEST)","4639","n/e","10891","n/e","9852","3712","416","n/e","n/e","28","2442","63","1133","66","n/e","8160","467","194","4","784","857","2238"
"Germany (DE)","01.01.2021 16:45 - 01.01.2021 17:00 (CET/CEST)","4686","n/e","10945","n/e","9852","3816","416","n/e","n/e","28","3235","24","1136","55","n/e","8154","468","195","1","786","894","2435"
"Germany (DE)","01.01.2021 17:00 - 01.01.2021 17:15 (CET/CEST)","4731","n/e","10934","n/e","9848","4006","416","n/e","n/e","28","2240","62","1133","49","n/e","8151","468","195","1","788","840","2623"
"Germany (DE)","01.01.2021 17:15 - 01.01.2021 17:30 (CET/CEST)","4759","n/e","11013","n/e","9908","4095","416","n/e","n/e","28","2409","91","1134","99","n/e","8151","468","194","1","773","782","2817"
"Germany (DE)","01.01.2021 17:30 - 01.01.2021 17:45 (CET/CEST)","4765","n/e","11021","n/e","9864","4132","416","n/e","n/e","29","2718","30","1133","73","n/e","8151","468","194","1","763","712","3043"
"Germany (DE)","01.01.2021 17:45 - 01.01.2021 18:00 (CET/CEST)","4791","n/e","11038","n/e","9830","4138","416","n/e","n/e","29","2999","10","1137","58","n/e","8151","468","194","1","762","672","3183"
"Germany (DE)","01.01.2021 18:00 - 01.01.2021 18:15 (CET/CEST)","4777","n/e","10987","n/e","9950","4064","416","n/e","n/e","29","2964","10","1135","79","n/e","8150","468","192","1","784","652","3327"
"Germany (DE)","01.01.2021 18:15 - 01.01.2021 18:30 (CET/CEST)","4779","n/e","10996","n/e","9926","4060","416","n/e","n/e","29","2861","11","1135","54","n/e","8151","468","192","1","771","653","3542"
"Germany (DE)","01.01.2021 18:30 - 01.01.2021 18:45 (CET/CEST)","4774","n/e","11010","n/e","9935","4041","416","n/e","n/e","29","3008","11","1132","80","n/e","8152","468","192","1","728","687","3622"
"Germany (DE)","01.01.2021 18:45 - 01.01.2021 19:00 (CET/CEST)","4777","n/e","11007","n/e","9907","4020","416","n/e","n/e","29","2541","11","1133","44","n/e","8150","468","192","1","748","809","3699"
"Germany (DE)","01.01.2021 19:00 - 01.01.2021 19:15 (CET/CEST)","4797","n/e","11014","n/e","9940","4110","416","n/e","n/e","29","2548","9","1135","62","n/e","8154","468","192","1","749","752","3781"
"Germany (DE)","01.01.2021 19:15 - 01.01.2021 19:30 (CET/CEST)","4789","n/e","10999","n/e","9941","4124","416","n/e","n/e","29","1811","9","1132","42","n/e","8157","468","192","1","740","747","3849"
"Germany (DE)","01.01.2021 19:30 - 01.01.2021 19:45 (CET/CEST)","4771","n/e","11024","n/e","9977","4117","416","n/e","n/e","29","1387","12","1128","40","n/e","8155","468","191","1","740","794","3968"
"Germany (DE)","01.01.2021 19:45 - 01.01.2021 20:00 (CET/CEST)","4762","n/e","10968","n/e","9950","4017","416","n/e","n/e","29","1208","166","1128","39","n/e","8153","468","190","1","743","820","4048"
"Germany (DE)","01.01.2021 20:00 - 01.01.2021 20:15 (CET/CEST)","4726","n/e","11007","n/e","9956","3923","416","n/e","n/e","29","1541","23","1129","130","n/e","8152","468","191","1","787","856","4109"
"Germany (DE)","01.01.2021 20:15 - 01.01.2021 20:30 (CET/CEST)","4721","n/e","11029","n/e","9997","3896","416","n/e","n/e","29","802","14","1128","47","n/e","8154","468","191","1","785","806","4132"
"Germany (DE)","01.01.2021 20:30 - 01.01.2021 20:45 (CET/CEST)","4711","n/e","11025","n/e","9828","3855","416","n/e","n/e","30","728","140","1130","34","n/e","8152","468","191","1","781","652","4207"
"Germany (DE)","01.01.2021 20:45 - 01.01.2021 21:00 (CET/CEST)","4707","n/e","11019","n/e","9721","3787","416","n/e","n/e","30","428","220","1137","33","n/e","8151","468","191","1","773","579","4265"
"Germany (DE)","01.01.2021 21:00 - 01.01.2021 21:15 (CET/CEST)","4682","n/e","10981","n/e","9865","3701","416","n/e","n/e","30","915","76","1146","43","n/e","8149","468","191","1","786","541","4332"
"Germany (DE)","01.01.2021 21:15 - 01.01.2021 21:30 (CET/CEST)","4655","n/e","10909","n/e","9861","3550","416","n/e","n/e","30","388","288","1146","82","n/e","8147","468","191","1","808","608","4381"
"Germany (DE)","01.01.2021 21:30 - 01.01.2021 21:45 (CET/CEST)","4631","n/e","10875","n/e","9860","3444","416","n/e","n/e","30","721","376","1149","101","n/e","8148","468","190","1","798","620","4427"
"Germany (DE)","01.01.2021 21:45 - 01.01.2021 22:00 (CET/CEST)","4642","n/e","10841","n/e","9885","3471","416","n/e","n/e","30","412","455","1152","53","n/e","8151","468","190","1","789","800","4397"
"Germany (DE)","01.01.2021 22:00 - 01.01.2021 22:15 (CET/CEST)","4604","n/e","10829","n/e","9594","3482","416","n/e","n/e","30","1659","265","1153","85","n/e","8146","462","187","1","785","922","4515"
"Germany (DE)","01.01.2021 22:15 - 01.01.2021 22:30 (CET/CEST)","4600","n/e","10746","n/e","9485","3516","416","n/e","n/e","31","965","344","1150","73","n/e","8138","461","187","1","783","896","4663"
"Germany (DE)","01.01.2021 22:30 - 01.01.2021 22:45 (CET/CEST)","4600","n/e","10801","n/e","9467","3440","416","n/e","n/e","31","896","431","1149","82","n/e","8135","452","187","1","790","783","4726"
"Germany (DE)","01.01.2021 22:45 - 01.01.2021 23:00 (CET/CEST)","4594","n/e","10815","n/e","9415","3246","416","n/e","n/e","31","410","511","1149","56","n/e","8145","452","187","1","790","763","4722"
"Germany (DE)","01.01.2021 23:00 - 01.01.2021 23:15 (CET/CEST)","4563","n/e","10851","n/e","9015","3111","416","n/e","n/e","31","336","1186","1148","100","n/e","8144","449","185","1","780","799","4637"
"Germany (DE)","01.01.2021 23:15 - 01.01.2021 23:30 (CET/CEST)","4535","n/e","10801","n/e","8824","3058","416","n/e","n/e","31","220","1390","1146","48","n/e","8146","442","185","1","766","653","4563"
"Germany (DE)","01.01.2021 23:30 - 01.01.2021 23:45 (CET/CEST)","4522","n/e","10936","n/e","8452","3002","417","n/e","n/e","31","248","1687","1143","78","n/e","8146","442","185","1","777","490","4584"
"Germany (DE)","01.01.2021 23:45 - 02.01.2021 00:00 (CET/CEST)","4534","n/e","10981","n/e","8009","2955","417","n/e","n/e","31","143","2028","1143","82","n/e","8131","442","185","1","789","418","4612"
"Germany (DE)","02.01.2021 00:00 - 02.01.2021 00:15 (CET/CEST)","4469","n/e","11239","n/e","7473","2915","416","n/e","n/e","31","127","2808","1126","66","n/e","8064","455","185","1","793","432","4548"
"Germany (DE)","02.01.2021 00:15 - 02.01.2021 00:30 (CET/CEST)","4478","n/e","11256","n/e","7456","2898","417","n/e","n/e","31","72","3247","1123","58","n/e","8073","455","184","1","789","458","4489"
"Germany (DE)","02.01.2021 00:30 - 02.01.2021 00:45 (CET/CEST)","4476","n/e","11423","n/e","7345","2857","417","n/e","n/e","31","54","3480","1126","65","n/e","8106","455","184","1","785","415","4489"
"Germany (DE)","02.01.2021 00:45 - 02.01.2021 01:00 (CET/CEST)","4487","n/e","11464","n/e","7242","2810","416","n/e","n/e","31","62","3744","1129","72","n/e","8129","455","183","1","782","393","4475"
"Germany (DE)","02.01.2021 01:00 - 02.01.2021 01:15 (CET/CEST)","4476","n/e","11604","n/e","6973","2779","416","n/e","n/e","31","58","4275","1122","48","n/e","8127","398","184","1","781","390","4402"
"Germany (DE)","02.01.2021 01:15 - 02.01.2021 01:30 (CET/CEST)","4459","n/e","11557","n/e","6977","2777","417","n/e","n/e","31","39","4596","1122","30","n/e","8104","398","184","1","755","419","4347"
"Germany (DE)","02.01.2021 01:30 - 02.01.2021 01:45 (CET/CEST)","4435","n/e","11623","n/e","6924","2726","416","n/e","n/e","31","38","4802","1119","45","n/e","8128","386","184","1","760","466","4307"
"Germany (DE)","02.01.2021 01:45 - 02.01.2021 02:00 (CET/CEST)","4419","n/e","11472","n/e","6904","2608","416","n/e","n/e","31","32","4844","1120","30","n/e","8122","386","183","1","765","455","4179"
"Germany (DE)","02.01.2021 02:00 - 02.01.2021 02:15 (CET/CEST)","4442","n/e","11502","n/e","6692","2554","416","n/e","n/e","31","56","4413","1117","64","n/e","8104","386","183","1","784","511","4120"
"Germany (DE)","02.01.2021 02:15 - 02.01.2021 02:30 (CET/CEST)","4458","n/e","11394","n/e","6702","2549","416","n/e","n/e","31","32","4651","1119","35","n/e","8098","386","183","1","784","629","4106"
"Germany (DE)","02.01.2021 02:30 - 02.01.2021 02:45 (CET/CEST)","4454","n/e","11393","n/e","6703","2553","416","n/e","n/e","31","35","4714","1122","60","n/e","8101","386","183","1","766","602","4075"
"Germany (DE)","02.01.2021 02:45 - 02.01.2021 03:00 (CET/CEST)","4462","n/e","11277","n/e","6687","2552","416","n/e","n/e","31","36","4765","1120","47","n/e","8099","386","184","1","771","507","4045"
"Germany (DE)","02.01.2021 03:00 - 02.01.2021 03:15 (CET/CEST)","4449","n/e","11170","n/e","6651","2565","416","n/e","n/e","31","19","4331","1116","89","n/e","8105","386","183","1","781","437","4068"
"Germany (DE)","02.01.2021 03:15 - 02.01.2021 03:30 (CET/CEST)","4461","n/e","11143","n/e","6675","2559","416","n/e","n/e","31","24","4394","1112","72","n/e","8091","386","182","1","771","401","4082"
"Germany (DE)","02.01.2021 03:30 - 02.01.2021 03:45 (CET/CEST)","4463","n/e","11157","n/e","6701","2564","416","n/e","n/e","31","36","4454","1111","76","n/e","8090","386","182","1","782","405","4082"
"Germany (DE)","02.01.2021 03:45 - 02.01.2021 04:00 (CET/CEST)","4446","n/e","11277","n/e","6740","2562","416","n/e","n/e","31","35","4519","1106","51","n/e","8092","387","182","1","780","380","4044"
"Germany (DE)","02.01.2021 04:00 - 02.01.2021 04:15 (CET/CEST)","4447","n/e","11384","n/e","6822","2591","416","n/e","n/e","31","34","4594","1105","87","n/e","8125","394","185","1","773","347","4041"
"Germany (DE)","02.01.2021 04:15 - 02.01.2021 04:30 (CET/CEST)","4454","n/e","11479","n/e","6807","2622","416","n/e","n/e","31","33","4531","1103","84","n/e","8129","394","185","1","769","316","4029"
"Germany (DE)","02.01.2021 04:30 - 02.01.2021 04:45 (CET/CEST)","4455","n/e","11545","n/e","6850","2618","419","n/e","n/e","31","62","4429","1103","63","n/e","8134","394","185","1","777","297","3941"
"Germany (DE)","02.01.2021 04:45 - 02.01.2021 05:00 (CET/CEST)","4447","n/e","11674","n/e","6858","2618","419","n/e","n/e","31","81","4427","1101","16","n/e","8138","394","185","1","785","308","3845"
"Germany (DE)","02.01.2021 05:00 - 02.01.2021 05:15 (CET/CEST)","4454","n/e","11919","n/e","6956","2615","419","n/e","n/e","31","99","3179","1100","14","n/e","8140","394","186","1","786","348","3667"
"Germany (DE)","02.01.2021 05:15 - 02.01.2021 05:30 (CET/CEST)","4459","n/e","11964","n/e","6939","2617","419","n/e","n/e","31","164","3119","1099","15","n/e","8139","397","187","1","785","381","3618"
"Germany (DE)","02.01.2021 05:30 - 02.01.2021 05:45 (CET/CEST)","4462","n/e","11983","n/e","6959","2638","419","n/e","n/e","31","289","2986","1100","14","n/e","8142","399","189","1","787","419","3577"
"Germany (DE)","02.01.2021 05:45 - 02.01.2021 06:00 (CET/CEST)","4455","n/e","12033","n/e","7073","2638","415","n/e","n/e","30","184","2672","1102","8","n/e","8141","399","188","1","794","408","3507"
"Germany (DE)","02.01.2021 06:00 - 02.01.2021 06:15 (CET/CEST)","4493","n/e","12027","n/e","7262","2654","417","n/e","n/e","30","92","1561","1104","57","n/e","8131","397","188","1","801","440","3452"
"Germany (DE)","02.01.2021 06:15 - 02.01.2021 06:30 (CET/CEST)","4499","n/e","12059","n/e","7246","2870","416","n/e","n/e","30","51","1419","1105","74","n/e","8130","397","188","1","800","488","3336"
"Germany (DE)","02.01.2021 06:30 - 02.01.2021 06:45 (CET/CEST)","4478","n/e","12194","n/e","7275","3033","416","n/e","n/e","30","54","1412","1098","51","n/e","8130","397","187","1","804","532","3236"
"Germany (DE)","02.01.2021 06:45 - 02.01.2021 07:00 (CET/CEST)","4498","n/e","12295","n/e","7371","3143","416","n/e","n/e","30","20","1350","1099","11","n/e","8128","397","187","1","798","569","3167"
