"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2020 00:00 - 01.01.2020 00:15 (CET/CEST)","4809","n/e","9280","n/e","6209","1985","454","n/e","n/e","32","1026","195","1320","451","n/e","8096","467","202","0","830","501","5929"
"Germany (DE)","01.01.2020 00:15 - 01.01.2020 00:30 (CET/CEST)","4803","n/e","9304","n/e","6078","1948","454","n/e","n/e","32","629","225","1316","386","n/e","8083","461","200","0","836","501","5925"
"Germany (DE)","01.01.2020 00:30 - 01.01.2020 00:45 (CET/CEST)","4787","n/e","9336","n/e","5986","1942","454","n/e","n/e","32","529","286","1311","275","n/e","8082","461","199","0","840","540","6129"
"Germany (DE)","01.01.2020 00:45 - 01.01.2020 01:00 (CET/CEST)","4787","n/e","9348","n/e","5911","1972","454","n/e","n/e","32","312","397","1311","99","n/e","8078","461","199","0","835","655","6261"
"Germany (DE)","01.01.2020 01:00 - 01.01.2020 01:15 (CET/CEST)","4785","n/e","9408","n/e","5715","1936","454","n/e","n/e","32","723","285","1311","244","n/e","8091","461","199","0","822","890","6115"
"Germany (DE)","01.01.2020 01:15 - 01.01.2020 01:30 (CET/CEST)","4764","n/e","9422","n/e","5713","1841","454","n/e","n/e","32","652","415","1307","212","n/e","8089","461","199","0","824","1157","5758"
"Germany (DE)","01.01.2020 01:30 - 01.01.2020 01:45 (CET/CEST)","4768","n/e","9421","n/e","5668","1760","454","n/e","n/e","32","637","446","1308","96","n/e","8090","461","199","0","818","1248","5797"
"Germany (DE)","01.01.2020 01:45 - 01.01.2020 02:00 (CET/CEST)","4778","n/e","9425","n/e","5598","1764","454","n/e","n/e","32","666","781","1309","53","n/e","8088","461","199","0","800","1382","5829"
"Germany (DE)","01.01.2020 02:00 - 01.01.2020 02:15 (CET/CEST)","4779","n/e","9455","n/e","5485","1794","455","n/e","n/e","32","2480","424","1309","151","n/e","8095","454","199","0","801","1533","5809"
"Germany (DE)","01.01.2020 02:15 - 01.01.2020 02:30 (CET/CEST)","4769","n/e","9403","n/e","5474","1790","454","n/e","n/e","32","2447","690","1304","99","n/e","8091","454","198","0","811","1659","5728"
"Germany (DE)","01.01.2020 02:30 - 01.01.2020 02:45 (CET/CEST)","4769","n/e","9401","n/e","5475","1790","454","n/e","n/e","32","2326","751","1302","100","n/e","8078","454","197","0","811","1687","5776"
"Germany (DE)","01.01.2020 02:45 - 01.01.2020 03:00 (CET/CEST)","4766","n/e","9444","n/e","5508","1815","454","n/e","n/e","32","2210","861","1299","70","n/e","8066","456","199","0","811","1783","5746"
"Germany (DE)","01.01.2020 03:00 - 01.01.2020 03:15 (CET/CEST)","4770","n/e","9492","n/e","5507","1896","454","n/e","n/e","32","2477","624","1298","275","n/e","8082","462","202","0","797","1902","5522"
"Germany (DE)","01.01.2020 03:15 - 01.01.2020 03:30 (CET/CEST)","4760","n/e","9494","n/e","5504","1903","454","n/e","n/e","31","2451","696","1296","179","n/e","8074","463","202","0","803","2075","5400"
"Germany (DE)","01.01.2020 03:30 - 01.01.2020 03:45 (CET/CEST)","4772","n/e","9490","n/e","5511","1902","454","n/e","n/e","31","2447","805","1297","127","n/e","8071","463","201","0","803","2117","5451"
"Germany (DE)","01.01.2020 03:45 - 01.01.2020 04:00 (CET/CEST)","4765","n/e","9513","n/e","5497","1896","454","n/e","n/e","32","2443","880","1293","61","n/e","8065","463","200","0","813","2155","5557"
"Germany (DE)","01.01.2020 04:00 - 01.01.2020 04:15 (CET/CEST)","4768","n/e","9546","n/e","5416","1908","454","n/e","n/e","32","2251","1181","1295","56","n/e","8076","463","200","0","819","2251","5455"
"Germany (DE)","01.01.2020 04:15 - 01.01.2020 04:30 (CET/CEST)","4771","n/e","9530","n/e","5406","1919","454","n/e","n/e","32","2302","1421","1290","32","n/e","8075","463","200","0","827","2331","5408"
"Germany (DE)","01.01.2020 04:30 - 01.01.2020 04:45 (CET/CEST)","4765","n/e","9570","n/e","5409","1920","454","n/e","n/e","32","2264","1542","1291","27","n/e","8071","462","200","0","826","2313","5462"
"Germany (DE)","01.01.2020 04:45 - 01.01.2020 05:00 (CET/CEST)","4770","n/e","9553","n/e","5399","1943","454","n/e","n/e","31","2263","1744","1291","27","n/e","8072","462","199","0","827","2273","5503"
