"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2022 04:30 - 01.01.2022 04:45 (CET/CEST)","4233","n/e","3531","n/e","3425","2008","279","n/e","n/e","27","218","3486","1420","171","n/e","3344","333","131","2","821","5696","20302"
"Germany (DE)","01.01.2022 04:45 - 01.01.2022 05:00 (CET/CEST)","4229","n/e","3586","n/e","3428","2014","279","n/e","n/e","27","215","3280","1418","53","n/e","3341","333","131","2","824","5364","20262"
"Germany (DE)","01.01.2022 05:00 - 01.01.2022 05:15 (CET/CEST)","4233","n/e","3630","n/e","3400","2007","279","n/e","n/e","27","214","2965","1419","34","n/e","3345","333","131","2","822","5019","19868"
"Germany (DE)","01.01.2022 05:15 - 01.01.2022 05:30 (CET/CEST)","4244","n/e","3711","n/e","3420","2011","279","n/e","n/e","27","218","2875","1412","51","n/e","3345","333","131","2","825","4645","19616"
"Germany (DE)","01.01.2022 05:30 - 01.01.2022 05:45 (CET/CEST)","4246","n/e","3866","n/e","3408","2019","279","n/e","n/e","27","211","2929","1411","90","n/e","3351","333","132","2","834","4322","19421"
"Germany (DE)","01.01.2022 05:45 - 01.01.2022 06:00 (CET/CEST)","4254","n/e","3861","n/e","3422","2019","279","n/e","n/e","27","208","2826","1409","88","n/e","3348","333","132","2","837","4139","19396"
"Germany (DE)","01.01.2022 06:00 - 01.01.2022 06:15 (CET/CEST)","4274","n/e","3859","n/e","3382","2013","279","n/e","n/e","27","107","2736","1405","28","n/e","3343","333","131","2","832","4106","19648"
"Germany (DE)","01.01.2022 06:15 - 01.01.2022 06:30 (CET/CEST)","4290","n/e","3866","n/e","3408","2029","280","n/e","n/e","27","145","2304","1408","31","n/e","3342","333","131","2","826","4331","19380"
"Germany (DE)","01.01.2022 06:30 - 01.01.2022 06:45 (CET/CEST)","4301","n/e","3879","n/e","3418","2041","281","n/e","n/e","27","207","2182","1409","34","n/e","3346","333","131","2","833","4635","19219"
"Germany (DE)","01.01.2022 06:45 - 01.01.2022 07:00 (CET/CEST)","4307","n/e","3901","n/e","3430","2042","281","n/e","n/e","27","209","2127","1412","31","n/e","3342","333","131","2","834","4987","18851"
"Germany (DE)","01.01.2022 07:00 - 01.01.2022 07:15 (CET/CEST)","4342","n/e","3868","n/e","3434","2310","281","n/e","n/e","27","275","2416","1411","25","n/e","3340","333","131","2","840","5035","18527"
"Germany (DE)","01.01.2022 07:15 - 01.01.2022 07:30 (CET/CEST)","4355","n/e","3862","n/e","3430","2351","281","n/e","n/e","27","275","1912","1411","29","n/e","3334","333","131","2","840","4950","18085"
"Germany (DE)","01.01.2022 07:30 - 01.01.2022 07:45 (CET/CEST)","4369","n/e","3874","n/e","3440","2416","281","n/e","n/e","27","275","1671","1411","31","n/e","3311","326","131","2","844","4826","17799"
"Germany (DE)","01.01.2022 07:45 - 01.01.2022 08:00 (CET/CEST)","4403","n/e","3874","n/e","3423","2369","281","n/e","n/e","27","276","1656","1416","30","n/e","3332","326","131","2","846","4589","17771"
"Germany (DE)","01.01.2022 08:00 - 01.01.2022 08:15 (CET/CEST)","4461","n/e","3962","n/e","3560","2469","281","n/e","n/e","27","276","2061","1414","51","n/e","3345","326","132","5","847","4512","17148"
"Germany (DE)","01.01.2022 08:15 - 01.01.2022 08:30 (CET/CEST)","4486","n/e","3953","n/e","3564","2447","281","n/e","n/e","27","165","1707","1420","38","n/e","3343","326","132","53","847","4105","16803"
"Germany (DE)","01.01.2022 08:30 - 01.01.2022 08:45 (CET/CEST)","4500","n/e","3978","n/e","3574","2414","281","n/e","n/e","27","146","1581","1430","28","n/e","3347","326","132","257","842","3921","16537"
"Germany (DE)","01.01.2022 08:45 - 01.01.2022 09:00 (CET/CEST)","4504","n/e","4034","n/e","3574","2465","281","n/e","n/e","27","146","1498","1433","25","n/e","3339","326","131","581","841","4150","16279"
"Germany (DE)","01.01.2022 09:00 - 01.01.2022 09:15 (CET/CEST)","4510","n/e","4185","n/e","3493","2451","281","n/e","n/e","27","144","1909","1430","31","n/e","3331","326","132","1024","843","4261","16147"
"Germany (DE)","01.01.2022 09:15 - 01.01.2022 09:30 (CET/CEST)","4543","n/e","4202","n/e","3475","2437","281","n/e","n/e","27","139","1550","1433","22","n/e","3328","326","132","1556","837","4313","15941"
"Germany (DE)","01.01.2022 09:30 - 01.01.2022 09:45 (CET/CEST)","4543","n/e","4232","n/e","3500","2467","281","n/e","n/e","27","140","1265","1433","21","n/e","3330","326","132","2055","839","4253","15467"
"Germany (DE)","01.01.2022 09:45 - 01.01.2022 10:00 (CET/CEST)","4523","n/e","4219","n/e","3489","2491","281","n/e","n/e","24","141","1221","1440","21","n/e","3334","320","132","2581","838","4029","15304"
"Germany (DE)","01.01.2022 10:00 - 01.01.2022 10:15 (CET/CEST)","4516","n/e","4346","n/e","3601","2429","281","n/e","n/e","23","188","1402","1433","21","n/e","3337","320","131","3157","840","4036","14818"
"Germany (DE)","01.01.2022 10:15 - 01.01.2022 10:30 (CET/CEST)","4534","n/e","4436","n/e","3606","2444","281","n/e","n/e","22","204","1477","1437","19","n/e","3336","320","130","3793","842","4061","14218"
"Germany (DE)","01.01.2022 10:30 - 01.01.2022 10:45 (CET/CEST)","4546","n/e","4348","n/e","3613","2449","281","n/e","n/e","22","228","1176","1439","22","n/e","3340","320","130","4438","847","4129","13744"
"Germany (DE)","01.01.2022 10:45 - 01.01.2022 11:00 (CET/CEST)","4554","n/e","4367","n/e","3623","2454","281","n/e","n/e","22","204","1069","1442","20","n/e","3344","320","130","5072","837","3978","13310"
"Germany (DE)","01.01.2022 11:00 - 01.01.2022 11:15 (CET/CEST)","4524","n/e","4396","n/e","3613","2488","281","n/e","n/e","22","129","1455","1441","29","n/e","3344","320","131","5616","838","3923","12679"
"Germany (DE)","01.01.2022 11:15 - 01.01.2022 11:30 (CET/CEST)","4503","n/e","4414","n/e","3619","2500","281","n/e","n/e","22","166","1611","1439","17","n/e","3342","320","132","6169","837","4077","12394"
"Germany (DE)","01.01.2022 11:30 - 01.01.2022 11:45 (CET/CEST)","4481","n/e","4421","n/e","3624","2541","281","n/e","n/e","19","179","1720","1438","21","n/e","3340","320","133","6624","834","4411","11737"
"Germany (DE)","01.01.2022 11:45 - 01.01.2022 12:00 (CET/CEST)","4507","n/e","4464","n/e","3641","2579","281","n/e","n/e","17","183","1223","1436","66","n/e","3347","320","133","7011","840","4649","10955"
"Germany (DE)","01.01.2022 12:00 - 01.01.2022 12:15 (CET/CEST)","4474","n/e","4513","n/e","3611","2641","281","n/e","n/e","17","968","813","1431","30","n/e","3354","320","133","7285","839","4592","10983"
"Germany (DE)","01.01.2022 12:15 - 01.01.2022 12:30 (CET/CEST)","4462","n/e","4474","n/e","3630","2730","281","n/e","n/e","17","793","633","1427","24","n/e","3351","320","132","7514","839","4842","10735"
"Germany (DE)","01.01.2022 12:30 - 01.01.2022 12:45 (CET/CEST)","4434","n/e","4558","n/e","3624","2757","281","n/e","n/e","17","828","660","1427","25","n/e","3343","320","129","7577","835","5186","10091"
"Germany (DE)","01.01.2022 12:45 - 01.01.2022 13:00 (CET/CEST)","4427","n/e","4469","n/e","3605","2762","281","n/e","n/e","17","897","650","1426","22","n/e","3344","320","129","7396","841","5360","9762"
"Germany (DE)","01.01.2022 13:00 - 01.01.2022 13:15 (CET/CEST)","4407","n/e","4259","n/e","3517","2751","281","n/e","n/e","17","1284","647","1428","23","n/e","3347","320","129","7158","846","5379","9447"
"Germany (DE)","01.01.2022 13:15 - 01.01.2022 13:30 (CET/CEST)","4395","n/e","4232","n/e","3511","2749","281","n/e","n/e","17","1268","1062","1428","19","n/e","3348","320","129","6865","841","5445","9140"
"Germany (DE)","01.01.2022 13:30 - 01.01.2022 13:45 (CET/CEST)","4396","n/e","4232","n/e","3510","2745","281","n/e","n/e","17","1333","1080","1427","34","n/e","3345","320","129","6438","836","5562","8836"
"Germany (DE)","01.01.2022 13:45 - 01.01.2022 14:00 (CET/CEST)","4398","n/e","4236","n/e","3495","2750","281","n/e","n/e","17","1462","936","1428","70","n/e","3336","320","129","5876","835","5724","8562"
"Germany (DE)","01.01.2022 14:00 - 01.01.2022 14:15 (CET/CEST)","4392","n/e","4395","n/e","3614","2841","281","n/e","n/e","17","2345","791","1424","40","n/e","3277","320","129","5281","833","5810","8553"
"Germany (DE)","01.01.2022 14:15 - 01.01.2022 14:30 (CET/CEST)","4406","n/e","4644","n/e","3611","2877","281","n/e","n/e","17","2323","569","1422","120","n/e","3269","320","129","4740","834","5859","8360"
"Germany (DE)","01.01.2022 14:30 - 01.01.2022 14:45 (CET/CEST)","4427","n/e","5015","n/e","3588","2988","281","n/e","n/e","17","2312","597","1421","84","n/e","3343","320","129","4121","836","5910","8311"
"Germany (DE)","01.01.2022 14:45 - 01.01.2022 15:00 (CET/CEST)","4433","n/e","5575","n/e","3595","3014","281","n/e","n/e","17","2326","510","1421","67","n/e","3341","320","129","3428","837","5978","8350"
"Germany (DE)","01.01.2022 15:00 - 01.01.2022 15:15 (CET/CEST)","4451","n/e","6094","n/e","3592","3145","281","n/e","n/e","17","2003","561","1420","84","n/e","3336","320","128","2670","835","6020","8514"
"Germany (DE)","01.01.2022 15:15 - 01.01.2022 15:30 (CET/CEST)","4467","n/e","6302","n/e","3620","3232","281","n/e","n/e","17","1968","411","1419","47","n/e","3346","320","130","1943","828","6029","8588"
"Germany (DE)","01.01.2022 15:30 - 01.01.2022 15:45 (CET/CEST)","4473","n/e","6411","n/e","3620","3374","281","n/e","n/e","17","2043","112","1416","170","n/e","3348","320","132","1288","838","6038","8835"
"Germany (DE)","01.01.2022 15:45 - 01.01.2022 16:00 (CET/CEST)","4504","n/e","6663","n/e","3635","3562","281","n/e","n/e","17","2153","99","1416","29","n/e","3347","320","132","774","844","6066","9299"
"Germany (DE)","01.01.2022 16:00 - 01.01.2022 16:15 (CET/CEST)","4558","n/e","6932","n/e","3568","3693","281","n/e","n/e","18","2356","96","1415","15","n/e","3342","320","132","384","847","6075","9897"
"Germany (DE)","01.01.2022 16:15 - 01.01.2022 16:30 (CET/CEST)","4586","n/e","6977","n/e","3465","3793","281","n/e","n/e","18","2923","95","1415","29","n/e","3345","320","132","127","841","6104","10424"
"Germany (DE)","01.01.2022 16:30 - 01.01.2022 16:45 (CET/CEST)","4590","n/e","7064","n/e","3587","3843","281","n/e","n/e","18","3154","31","1413","28","n/e","3348","320","132","18","849","6115","10908"
"Germany (DE)","01.01.2022 16:45 - 01.01.2022 17:00 (CET/CEST)","4604","n/e","7193","n/e","3585","3913","281","n/e","n/e","18","3300","12","1413","31","n/e","3349","320","132","4","848","6132","11472"
"Germany (DE)","01.01.2022 17:00 - 01.01.2022 17:15 (CET/CEST)","4617","n/e","7286","n/e","3519","3996","281","n/e","n/e","18","3513","11","1407","38","n/e","3345","320","132","3","846","6152","12072"
"Germany (DE)","01.01.2022 17:15 - 01.01.2022 17:30 (CET/CEST)","4627","n/e","7427","n/e","3497","4001","281","n/e","n/e","18","3657","17","1405","37","n/e","3350","320","131","2","838","6091","12698"
"Germany (DE)","01.01.2022 17:30 - 01.01.2022 17:45 (CET/CEST)","4635","n/e","7413","n/e","3514","4011","281","n/e","n/e","21","3701","157","1405","33","n/e","3352","320","131","2","844","6034","13332"
"Germany (DE)","01.01.2022 17:45 - 01.01.2022 18:00 (CET/CEST)","4635","n/e","7385","n/e","3522","4089","281","n/e","n/e","21","3648","160","1402","33","n/e","3351","320","131","2","854","6043","13833"
"Germany (DE)","01.01.2022 18:00 - 01.01.2022 18:15 (CET/CEST)","4645","n/e","7576","n/e","3506","4138","281","n/e","n/e","21","4382","159","1403","33","n/e","3351","320","131","2","852","6052","14376"
"Germany (DE)","01.01.2022 18:15 - 01.01.2022 18:30 (CET/CEST)","4662","n/e","7613","n/e","3494","4153","281","n/e","n/e","21","4343","139","1402","35","n/e","3352","320","132","2","850","6038","14816"
"Germany (DE)","01.01.2022 18:30 - 01.01.2022 18:45 (CET/CEST)","4666","n/e","7621","n/e","3521","4210","281","n/e","n/e","22","4224","159","1401","33","n/e","3352","320","132","2","854","6044","15225"
"Germany (DE)","01.01.2022 18:45 - 01.01.2022 19:00 (CET/CEST)","4664","n/e","7494","n/e","3531","4208","281","n/e","n/e","22","3410","158","1400","27","n/e","3351","320","131","2","855","6060","15934"
"Germany (DE)","01.01.2022 19:00 - 01.01.2022 19:15 (CET/CEST)","4642","n/e","7362","n/e","3563","4083","281","n/e","n/e","22","3668","150","1394","27","n/e","3351","320","130","2","855","6071","16583"
"Germany (DE)","01.01.2022 19:15 - 01.01.2022 19:30 (CET/CEST)","4601","n/e","7321","n/e","3577","4011","281","n/e","n/e","22","3358","244","1399","28","n/e","3350","320","130","2","851","6085","16826"
"Germany (DE)","01.01.2022 19:30 - 01.01.2022 19:45 (CET/CEST)","4601","n/e","7230","n/e","3572","3937","281","n/e","n/e","22","3508","246","1401","31","n/e","3351","325","130","2","848","6089","17209"
"Germany (DE)","01.01.2022 19:45 - 01.01.2022 20:00 (CET/CEST)","4587","n/e","6889","n/e","3549","3862","281","n/e","n/e","22","2937","214","1400","28","n/e","3351","325","130","2","851","6099","17570"
"Germany (DE)","01.01.2022 20:00 - 01.01.2022 20:15 (CET/CEST)","4529","n/e","6523","n/e","3673","3686","281","n/e","n/e","23","2826","243","1400","49","n/e","3357","326","130","2","844","6139","17972"
"Germany (DE)","01.01.2022 20:15 - 01.01.2022 20:30 (CET/CEST)","4500","n/e","6391","n/e","3695","3600","281","n/e","n/e","24","2092","253","1403","41","n/e","3356","326","131","2","853","6190","17972"
"Germany (DE)","01.01.2022 20:30 - 01.01.2022 20:45 (CET/CEST)","4476","n/e","6253","n/e","3673","3546","281","n/e","n/e","25","2006","168","1404","31","n/e","3349","326","132","2","849","6272","18048"
"Germany (DE)","01.01.2022 20:45 - 01.01.2022 21:00 (CET/CEST)","4460","n/e","5981","n/e","3639","3470","281","n/e","n/e","26","1635","159","1405","27","n/e","3348","326","132","2","849","6329","18197"
"Germany (DE)","01.01.2022 21:00 - 01.01.2022 21:15 (CET/CEST)","4394","n/e","5721","n/e","3583","3411","281","n/e","n/e","26","1658","73","1402","60","n/e","3353","326","132","2","850","6399","18211"
"Germany (DE)","01.01.2022 21:15 - 01.01.2022 21:30 (CET/CEST)","4395","n/e","5632","n/e","3574","3239","281","n/e","n/e","26","1145","202","1407","25","n/e","3359","326","132","2","849","6461","18497"
"Germany (DE)","01.01.2022 21:30 - 01.01.2022 21:45 (CET/CEST)","4393","n/e","5612","n/e","3595","3043","281","n/e","n/e","26","1163","277","1408","24","n/e","3350","326","132","2","848","6498","18664"
"Germany (DE)","01.01.2022 21:45 - 01.01.2022 22:00 (CET/CEST)","4388","n/e","5664","n/e","3578","2834","281","n/e","n/e","26","925","331","1409","21","n/e","3350","326","132","2","852","6535","18868"
"Germany (DE)","01.01.2022 22:00 - 01.01.2022 22:15 (CET/CEST)","4355","n/e","5795","n/e","3556","2773","281","n/e","n/e","26","2062","514","1406","83","n/e","3354","326","132","2","860","6663","18330"
"Germany (DE)","01.01.2022 22:15 - 01.01.2022 22:30 (CET/CEST)","4337","n/e","5782","n/e","3561","2669","281","n/e","n/e","27","1304","539","1405","91","n/e","3359","326","132","2","859","6725","18651"
"Germany (DE)","01.01.2022 22:30 - 01.01.2022 22:45 (CET/CEST)","4337","n/e","5783","n/e","3562","2527","281","n/e","n/e","27","1295","530","1403","173","n/e","3362","326","131","2","857","6775","18809"
"Germany (DE)","01.01.2022 22:45 - 01.01.2022 23:00 (CET/CEST)","4322","n/e","5404","n/e","3555","2526","281","n/e","n/e","27","911","477","1401","46","n/e","3355","326","131","2","861","6810","18811"
"Germany (DE)","01.01.2022 23:00 - 01.01.2022 23:15 (CET/CEST)","4298","n/e","4811","n/e","3503","2505","281","n/e","n/e","27","1270","74","1400","64","n/e","3360","326","132","2","861","6838","18774"
"Germany (DE)","01.01.2022 23:15 - 01.01.2022 23:30 (CET/CEST)","4291","n/e","4610","n/e","3497","2425","281","n/e","n/e","27","499","326","1398","27","n/e","3359","326","132","2","857","6946","18937"
"Germany (DE)","01.01.2022 23:30 - 01.01.2022 23:45 (CET/CEST)","4289","n/e","4575","n/e","3490","2419","281","n/e","n/e","28","429","585","1399","27","n/e","3355","326","132","2","856","6979","18919"
"Germany (DE)","01.01.2022 23:45 - 02.01.2022 00:00 (CET/CEST)","4271","n/e","4182","n/e","3478","2401","281","n/e","n/e","28","301","1381","1398","27","n/e","3345","326","132","2","853","6968","19001"
"Germany (DE)","02.01.2022 00:00 - 02.01.2022 00:15 (CET/CEST)","4248","n/e","3676","n/e","3392","2375","281","n/e","n/e","28","164","2546","1388","43","n/e","3353","326","132","2","856","6934","19337"
"Germany (DE)","02.01.2022 00:15 - 02.01.2022 00:30 (CET/CEST)","4193","n/e","3621","n/e","3497","2260","281","n/e","n/e","28","165","3837","1389","26","n/e","3350","326","132","2","852","6945","19269"
"Germany (DE)","02.01.2022 00:30 - 02.01.2022 00:45 (CET/CEST)","4220","n/e","3623","n/e","3522","2217","281","n/e","n/e","28","248","4062","1383","31","n/e","3318","326","132","2","851","6960","18891"
"Germany (DE)","02.01.2022 00:45 - 02.01.2022 01:00 (CET/CEST)","4232","n/e","3672","n/e","3511","2220","281","n/e","n/e","28","262","3813","1383","32","n/e","3252","326","132","2","853","6935","18363"
"Germany (DE)","02.01.2022 01:00 - 02.01.2022 01:15 (CET/CEST)","4202","n/e","3706","n/e","3434","2216","281","n/e","n/e","28","498","3928","1379","109","n/e","3196","326","132","2","845","6894","18733"
"Germany (DE)","02.01.2022 01:15 - 02.01.2022 01:30 (CET/CEST)","4237","n/e","3672","n/e","3446","2217","281","n/e","n/e","28","326","4402","1383","31","n/e","3189","326","132","2","844","6823","19160"
"Germany (DE)","02.01.2022 01:30 - 02.01.2022 01:45 (CET/CEST)","4238","n/e","3670","n/e","3435","2212","281","n/e","n/e","28","261","4667","1384","30","n/e","3167","326","131","2","845","6790","19535"
"Germany (DE)","02.01.2022 01:45 - 02.01.2022 02:00 (CET/CEST)","4231","n/e","3617","n/e","3459","2201","281","n/e","n/e","28","421","4134","1384","94","n/e","3181","326","131","2","843","6833","17752"
"Germany (DE)","02.01.2022 02:00 - 02.01.2022 02:15 (CET/CEST)","4226","n/e","3560","n/e","3455","2185","281","n/e","n/e","27","515","3870","1384","83","n/e","3269","326","131","2","845","6867","17751"
"Germany (DE)","02.01.2022 02:15 - 02.01.2022 02:30 (CET/CEST)","4237","n/e","3517","n/e","3442","2192","281","n/e","n/e","27","370","4245","1381","118","n/e","3262","326","131","2","844","6817","18282"
"Germany (DE)","02.01.2022 02:30 - 02.01.2022 02:45 (CET/CEST)","4238","n/e","3507","n/e","3424","2198","281","n/e","n/e","28","371","4207","1383","128","n/e","3271","326","131","2","840","6736","18039"
"Germany (DE)","02.01.2022 02:45 - 02.01.2022 03:00 (CET/CEST)","4237","n/e","3498","n/e","3438","2194","281","n/e","n/e","28","293","4250","1383","129","n/e","3274","326","131","2","845","6715","18001"
"Germany (DE)","02.01.2022 03:00 - 02.01.2022 03:15 (CET/CEST)","4228","n/e","3460","n/e","3456","2187","281","n/e","n/e","28","414","3841","1382","129","n/e","3298","326","131","2","846","6303","18511"
"Germany (DE)","02.01.2022 03:15 - 02.01.2022 03:30 (CET/CEST)","4233","n/e","3450","n/e","3453","2194","281","n/e","n/e","27","408","3799","1380","128","n/e","3294","326","129","2","837","6312","19089"
"Germany (DE)","02.01.2022 03:30 - 02.01.2022 03:45 (CET/CEST)","4233","n/e","3456","n/e","3438","2197","281","n/e","n/e","27","197","3934","1380","114","n/e","3341","326","129","2","843","6246","19240"
"Germany (DE)","02.01.2022 03:45 - 02.01.2022 04:00 (CET/CEST)","4243","n/e","3464","n/e","3437","2202","281","n/e","n/e","27","383","4099","1383","123","n/e","3360","326","129","2","838","6236","19089"
"Germany (DE)","02.01.2022 04:00 - 02.01.2022 04:15 (CET/CEST)","4237","n/e","3482","n/e","3401","2202","281","n/e","n/e","27","388","4105","1379","125","n/e","3349","326","129","2","828","6087","18084"
"Germany (DE)","02.01.2022 04:15 - 02.01.2022 04:30 (CET/CEST)","4247","n/e","3455","n/e","3394","2239","281","n/e","n/e","27","345","4116","1378","131","n/e","3339","326","129","2","832","6089","17994"
"Germany (DE)","02.01.2022 04:30 - 02.01.2022 04:45 (CET/CEST)","4251","n/e","3446","n/e","3414","2209","281","n/e","n/e","27","291","4181","1379","129","n/e","3335","326","129","2","833","6049","18257"
"Germany (DE)","02.01.2022 04:45 - 02.01.2022 05:00 (CET/CEST)","4254","n/e","3453","n/e","3417","2212","281","n/e","n/e","27","369","4037","1377","131","n/e","3338","326","129","2","839","5924","18073"
"Germany (DE)","02.01.2022 05:00 - 02.01.2022 05:15 (CET/CEST)","4255","n/e","3474","n/e","3429","2202","281","n/e","n/e","27","298","4114","1379","128","n/e","3333","326","129","2","844","6212","18590"
"Germany (DE)","02.01.2022 05:15 - 02.01.2022 05:30 (CET/CEST)","4266","n/e","3455","n/e","3442","2201","281","n/e","n/e","27","296","4091","1379","130","n/e","3329","326","129","2","843","6317","18704"
"Germany (DE)","02.01.2022 05:30 - 02.01.2022 05:45 (CET/CEST)","4260","n/e","3466","n/e","3442","2207","281","n/e","n/e","27","324","3784","1378","142","n/e","3338","326","126","2","835","6484","18011"
"Germany (DE)","02.01.2022 05:45 - 02.01.2022 06:00 (CET/CEST)","4255","n/e","3478","n/e","3439","2218","281","n/e","n/e","27","443","3667","1374","92","n/e","3345","326","125","2","838","6243","17401"
"Germany (DE)","02.01.2022 06:00 - 02.01.2022 06:15 (CET/CEST)","4305","n/e","3466","n/e","3473","2210","281","n/e","n/e","27","403","2734","1374","92","n/e","3312","326","125","2","834","6145","18765"
"Germany (DE)","02.01.2022 06:15 - 02.01.2022 06:30 (CET/CEST)","4319","n/e","3447","n/e","3474","2230","281","n/e","n/e","26","409","2225","1372","82","n/e","3329","326","125","2","827","5912","18765"
