"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2022 00:00 - 01.01.2022 00:15 (CET/CEST)","4244","n/e","3596","n/e","3440","2048","279","n/e","n/e","25","589","2400","1429","53","n/e","3208","333","131","2","850","6132","25780"
"Germany (DE)","01.01.2022 00:15 - 01.01.2022 00:30 (CET/CEST)","4228","n/e","3582","n/e","3476","2041","279","n/e","n/e","25","415","2513","1429","38","n/e","3325","333","132","2","852","6038","25739"
"Germany (DE)","01.01.2022 00:30 - 01.01.2022 00:45 (CET/CEST)","4220","n/e","3526","n/e","3530","2038","279","n/e","n/e","25","373","2731","1428","27","n/e","3344","333","132","2","842","5961","25358"
"Germany (DE)","01.01.2022 00:45 - 01.01.2022 01:00 (CET/CEST)","4238","n/e","3544","n/e","3520","2030","279","n/e","n/e","26","289","2784","1428","31","n/e","3342","333","132","2","827","5771","25404"
"Germany (DE)","01.01.2022 01:00 - 01.01.2022 01:15 (CET/CEST)","4228","n/e","3565","n/e","3406","2053","279","n/e","n/e","26","453","2347","1424","115","n/e","3351","333","132","2","846","5688","24860"
"Germany (DE)","01.01.2022 01:15 - 01.01.2022 01:30 (CET/CEST)","4220","n/e","3521","n/e","3408","2057","279","n/e","n/e","26","438","2598","1421","118","n/e","3350","333","132","2","841","5795","24621"
"Germany (DE)","01.01.2022 01:30 - 01.01.2022 01:45 (CET/CEST)","4212","n/e","3534","n/e","3396","2044","279","n/e","n/e","26","394","2800","1423","116","n/e","3347","333","132","2","835","5775","24237"
"Germany (DE)","01.01.2022 01:45 - 01.01.2022 02:00 (CET/CEST)","4220","n/e","3567","n/e","3417","2045","279","n/e","n/e","26","374","2909","1423","32","n/e","3344","333","132","2","844","5843","23555"
"Germany (DE)","01.01.2022 02:00 - 01.01.2022 02:15 (CET/CEST)","4225","n/e","3523","n/e","3430","2038","279","n/e","n/e","26","536","2849","1423","99","n/e","3347","333","133","2","835","5699","23584"
"Germany (DE)","01.01.2022 02:15 - 01.01.2022 02:30 (CET/CEST)","4215","n/e","3506","n/e","3386","2038","279","n/e","n/e","26","380","2898","1420","30","n/e","3345","333","133","2","836","5748","23188"
"Germany (DE)","01.01.2022 02:30 - 01.01.2022 02:45 (CET/CEST)","4220","n/e","3480","n/e","3397","2029","279","n/e","n/e","26","337","3014","1422","31","n/e","3348","333","133","2","833","5410","22955"
"Germany (DE)","01.01.2022 02:45 - 01.01.2022 03:00 (CET/CEST)","4230","n/e","3471","n/e","3393","2028","279","n/e","n/e","26","266","2933","1420","27","n/e","3337","333","133","2","830","5335","22951"
"Germany (DE)","01.01.2022 03:00 - 01.01.2022 03:15 (CET/CEST)","4228","n/e","3507","n/e","3420","2024","279","n/e","n/e","27","336","3165","1421","31","n/e","3348","333","132","2","822","5305","22622"
"Germany (DE)","01.01.2022 03:15 - 01.01.2022 03:30 (CET/CEST)","4233","n/e","3497","n/e","3400","2025","279","n/e","n/e","27","319","3384","1421","30","n/e","3342","333","133","2","830","5266","22364"
"Germany (DE)","01.01.2022 03:30 - 01.01.2022 03:45 (CET/CEST)","4225","n/e","3505","n/e","3400","2021","279","n/e","n/e","27","335","3283","1422","31","n/e","3343","333","133","2","834","5353","21815"
"Germany (DE)","01.01.2022 03:45 - 01.01.2022 04:00 (CET/CEST)","4224","n/e","3510","n/e","3407","2025","279","n/e","n/e","27","295","3479","1421","34","n/e","3337","333","132","2","833","5607","21569"
"Germany (DE)","01.01.2022 04:00 - 01.01.2022 04:15 (CET/CEST)","4232","n/e","3523","n/e","3421","2017","279","n/e","n/e","27","284","3771","1421","60","n/e","3342","333","132","2","825","5592","20926"
"Germany (DE)","01.01.2022 04:15 - 01.01.2022 04:30 (CET/CEST)","4232","n/e","3510","n/e","3412","2014","279","n/e","n/e","27","260","3710","1419","30","n/e","3343","333","132","2","823","5694","20938"
