"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2017 00:00 - 01.01.2017 00:15 (CET/CEST)","4928","n/e","13256","534","2244","4792","195","n/e","n/e","21","342","349","1122","24","n/e","6456","572","217","0","689","3296","12113"
"Germany (DE)","01.01.2017 00:15 - 01.01.2017 00:30 (CET/CEST)","4912","n/e","13329","526","2242","4756","195","n/e","n/e","21","355","588","1124","24","n/e","6463","569","216","0","687","3301","12162"
"Germany (DE)","01.01.2017 00:30 - 01.01.2017 00:45 (CET/CEST)","4908","n/e","13272","525","2233","4797","195","n/e","n/e","22","365","689","1127","24","n/e","6457","567","215","0","684","3300","12259"
"Germany (DE)","01.01.2017 00:45 - 01.01.2017 01:00 (CET/CEST)","4910","n/e","13280","517","2228","4760","195","n/e","n/e","22","324","695","1127","24","n/e","6454","556","215","0","678","3302","12230"
"Germany (DE)","01.01.2017 01:00 - 01.01.2017 01:15 (CET/CEST)","4904","n/e","13680","518","2259","4869","196","n/e","n/e","22","286","1109","1124","19","n/e","6464","577","215","0","675","3304","12240"
"Germany (DE)","01.01.2017 01:15 - 01.01.2017 01:30 (CET/CEST)","4908","n/e","13666","520","2250","4859","195","n/e","n/e","22","264","1359","1125","19","n/e","6453","569","215","0","678","3300","12200"
"Germany (DE)","01.01.2017 01:30 - 01.01.2017 01:45 (CET/CEST)","4906","n/e","13688","529","2251","4832","196","n/e","n/e","19","276","1478","1126","19","n/e","6455","564","215","0","676","3300","12235"
"Germany (DE)","01.01.2017 01:45 - 01.01.2017 02:00 (CET/CEST)","4908","n/e","13722","504","2226","4846","195","n/e","n/e","18","255","1536","1124","19","n/e","6454","569","212","0","678","3296","12204"
"Germany (DE)","01.01.2017 02:00 - 01.01.2017 02:15 (CET/CEST)","4906","n/e","14023","512","2228","4570","196","n/e","n/e","18","429","347","1126","19","n/e","6462","506","213","0","674","3297","12190"
"Germany (DE)","01.01.2017 02:15 - 01.01.2017 02:30 (CET/CEST)","4904","n/e","14146","524","2217","4573","196","n/e","n/e","18","209","571","1125","24","n/e","6453","523","211","0","671","3296","12063"
"Germany (DE)","01.01.2017 02:30 - 01.01.2017 02:45 (CET/CEST)","4913","n/e","14258","547","2206","4534","196","n/e","n/e","18","193","1289","1124","19","n/e","6461","543","210","0","671","3296","11842"
"Germany (DE)","01.01.2017 02:45 - 01.01.2017 03:00 (CET/CEST)","4904","n/e","14251","547","2188","4576","196","n/e","n/e","18","280","1538","1118","19","n/e","6454","544","203","0","676","3294","11769"
"Germany (DE)","01.01.2017 03:00 - 01.01.2017 03:15 (CET/CEST)","4892","n/e","14438","550","2180","4728","196","n/e","n/e","18","182","1722","1113","22","n/e","6485","543","207","0","667","3295","11713"
"Germany (DE)","01.01.2017 03:15 - 01.01.2017 03:30 (CET/CEST)","4897","n/e","14406","545","2173","4649","196","n/e","n/e","18","176","1918","1109","22","n/e","6494","543","211","0","667","3295","11676"
"Germany (DE)","01.01.2017 03:30 - 01.01.2017 03:45 (CET/CEST)","4894","n/e","14406","502","2164","4635","195","n/e","n/e","18","163","1965","1106","22","n/e","6497","548","211","0","669","3297","11637"
"Germany (DE)","01.01.2017 03:45 - 01.01.2017 04:00 (CET/CEST)","4895","n/e","14367","480","2158","4672","196","n/e","n/e","19","201","2195","1103","21","n/e","6500","555","210","0","676","3298","11678"
"Germany (DE)","01.01.2017 04:00 - 01.01.2017 04:15 (CET/CEST)","4897","n/e","14274","505","2174","4640","196","n/e","n/e","21","136","2155","1105","41","n/e","6511","554","210","0","675","3299","11753"
"Germany (DE)","01.01.2017 04:15 - 01.01.2017 04:30 (CET/CEST)","4903","n/e","13956","538","2186","4631","195","n/e","n/e","21","130","1874","1104","42","n/e","6510","541","210","0","676","3297","11745"
"Germany (DE)","01.01.2017 04:30 - 01.01.2017 04:45 (CET/CEST)","4895","n/e","13778","557","2177","4660","195","n/e","n/e","21","112","1685","1105","42","n/e","6512","544","210","0","676","3293","11744"
"Germany (DE)","01.01.2017 04:45 - 01.01.2017 05:00 (CET/CEST)","4899","n/e","13766","556","2179","4649","195","n/e","n/e","21","117","2113","1106","42","n/e","6514","550","210","0","676","3291","11856"
"Germany (DE)","01.01.2017 05:00 - 01.01.2017 05:15 (CET/CEST)","4902","n/e","13873","548","2208","4654","195","n/e","n/e","21","41","1981","1105","27","n/e","6518","551","210","0","659","3294","11950"
"Germany (DE)","01.01.2017 05:15 - 01.01.2017 05:30 (CET/CEST)","4899","n/e","13884","559","2204","4607","195","n/e","n/e","21","50","2532","1103","26","n/e","6516","556","211","0","654","3295","12034"
"Germany (DE)","01.01.2017 05:30 - 01.01.2017 05:45 (CET/CEST)","4896","n/e","13884","573","2190","4529","195","n/e","n/e","21","86","2801","1102","26","n/e","6514","549","210","0","649","3281","12054"
"Germany (DE)","01.01.2017 05:45 - 01.01.2017 06:00 (CET/CEST)","4902","n/e","13862","573","2198","4473","196","n/e","n/e","21","72","3158","1102","22","n/e","6514","557","210","0","659","3274","12112"
"Germany (DE)","01.01.2017 06:00 - 01.01.2017 06:15 (CET/CEST)","4901","n/e","13924","555","2173","4140","195","n/e","n/e","21","148","3464","1107","27","n/e","6511","554","210","0","658","3265","12444"
"Germany (DE)","01.01.2017 06:15 - 01.01.2017 06:30 (CET/CEST)","4910","n/e","13939","540","2177","4064","195","n/e","n/e","20","180","3497","1111","27","n/e","6515","553","210","0","661","3206","12406"
"Germany (DE)","01.01.2017 06:30 - 01.01.2017 06:45 (CET/CEST)","4915","n/e","13892","538","2183","4125","195","n/e","n/e","20","177","3045","1109","27","n/e","6514","539","210","0","660","3154","12407"
