"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2016 00:00 - 01.01.2016 00:15","40575","44295"
"01.01.2016 00:15 - 01.01.2016 00:30","40599","44003"
"01.01.2016 00:30 - 01.01.2016 00:45","39943","43759"
"01.01.2016 00:45 - 01.01.2016 01:00","39398","43461"
"01.01.2016 01:00 - 01.01.2016 01:15","38896","42786"
"01.01.2016 01:15 - 01.01.2016 01:30","38212","42235"
"01.01.2016 01:30 - 01.01.2016 01:45","37950","41830"
"01.01.2016 01:45 - 01.01.2016 02:00","37592","41600"
"01.01.2016 02:00 - 01.01.2016 02:15","37214","40926"
"01.01.2016 02:15 - 01.01.2016 02:30","36773","40616"
"01.01.2016 02:30 - 01.01.2016 02:45","36574","40253"
"01.01.2016 02:45 - 01.01.2016 03:00","36515","39855"
"01.01.2016 03:00 - 01.01.2016 03:15","36584","39805"
"01.01.2016 03:15 - 01.01.2016 03:30","36488","39462"
"01.01.2016 03:30 - 01.01.2016 03:45","36423","39302"
"01.01.2016 03:45 - 01.01.2016 04:00","36315","39144"
"01.01.2016 04:00 - 01.01.2016 04:15","36386","39196"
"01.01.2016 04:15 - 01.01.2016 04:30","36676","39058"
"01.01.2016 04:30 - 01.01.2016 04:45","36545","38925"
"01.01.2016 04:45 - 01.01.2016 05:00","36704","38861"
"01.01.2016 05:00 - 01.01.2016 05:15","37069","38793"
"01.01.2016 05:15 - 01.01.2016 05:30","37128","38415"
"01.01.2016 05:30 - 01.01.2016 05:45","37204","38189"
"01.01.2016 05:45 - 01.01.2016 06:00","37291","37702"
"01.01.2016 06:00 - 01.01.2016 06:15","37751","37261"
"01.01.2016 06:15 - 01.01.2016 06:30","38390","36938"
"01.01.2016 06:30 - 01.01.2016 06:45","39111","37001"
"01.01.2016 06:45 - 01.01.2016 07:00","39328","37050"
"01.01.2016 07:00 - 01.01.2016 07:15","40319","37129"
"01.01.2016 07:15 - 01.01.2016 07:30","41005","37224"
"01.01.2016 07:30 - 01.01.2016 07:45","42184","37397"
"01.01.2016 07:45 - 01.01.2016 08:00","42236","37602"
"01.01.2016 08:00 - 01.01.2016 08:15","43186","37873"
"01.01.2016 08:15 - 01.01.2016 08:30","43400","37861"
"01.01.2016 08:30 - 01.01.2016 08:45","43614","38201"
"01.01.2016 08:45 - 01.01.2016 09:00","44049","38541"
"01.01.2016 09:00 - 01.01.2016 09:15","44509","39439"
"01.01.2016 09:15 - 01.01.2016 09:30","45324","39974"
"01.01.2016 09:30 - 01.01.2016 09:45","45609","40526"
"01.01.2016 09:45 - 01.01.2016 10:00","46212","41059"
"01.01.2016 10:00 - 01.01.2016 10:15","46453","41699"
