"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2017 00:00 - 01.01.2017 00:15","40241","47373"
"01.01.2017 00:15 - 01.01.2017 00:30","39805","47196"
"01.01.2017 00:30 - 01.01.2017 00:45","39023","47156"
"01.01.2017 00:45 - 01.01.2017 01:00","38682","46805"
"01.01.2017 01:00 - 01.01.2017 01:15","38162","46551"
"01.01.2017 01:15 - 01.01.2017 01:30","37744","46030"
"01.01.2017 01:30 - 01.01.2017 01:45","37604","45587"
"01.01.2017 01:45 - 01.01.2017 02:00","37229","45277"
"01.01.2017 02:00 - 01.01.2017 02:15","36989","44950"
"01.01.2017 02:15 - 01.01.2017 02:30","37036","44699"
"01.01.2017 02:30 - 01.01.2017 02:45","36874","44294"
"01.01.2017 02:45 - 01.01.2017 03:00","36465","43929"
"01.01.2017 03:00 - 01.01.2017 03:15","36507","43549"
"01.01.2017 03:15 - 01.01.2017 03:30","36698","43302"
"01.01.2017 03:30 - 01.01.2017 03:45","36746","43216"
"01.01.2017 03:45 - 01.01.2017 04:00","36758","43021"
"01.01.2017 04:00 - 01.01.2017 04:15","36884","42906"
"01.01.2017 04:15 - 01.01.2017 04:30","36897","42564"
"01.01.2017 04:30 - 01.01.2017 04:45","36482","42381"
"01.01.2017 04:45 - 01.01.2017 05:00","36761","42094"
"01.01.2017 05:00 - 01.01.2017 05:15","36964","41812"
"01.01.2017 05:15 - 01.01.2017 05:30","36308","41498"
"01.01.2017 05:30 - 01.01.2017 05:45","36218","41030"
"01.01.2017 05:45 - 01.01.2017 06:00","35579","40827"
"01.01.2017 06:00 - 01.01.2017 06:15","35256","39975"
"01.01.2017 06:15 - 01.01.2017 06:30","34851","39911"
"01.01.2017 06:30 - 01.01.2017 06:45","34967","39947"
"01.01.2017 06:45 - 01.01.2017 07:00","34374","40047"
"01.01.2017 07:00 - 01.01.2017 07:15","36200","40160"
"01.01.2017 07:15 - 01.01.2017 07:30","36747","40217"
"01.01.2017 07:30 - 01.01.2017 07:45","36679","40350"
"01.01.2017 07:45 - 01.01.2017 08:00","37327","40585"
"01.01.2017 08:00 - 01.01.2017 08:15","39011","41012"
"01.01.2017 08:15 - 01.01.2017 08:30","39682","41115"
"01.01.2017 08:30 - 01.01.2017 08:45","39769","41355"
"01.01.2017 08:45 - 01.01.2017 09:00","40747","41852"
"01.01.2017 09:00 - 01.01.2017 09:15","42092","42886"
"01.01.2017 09:15 - 01.01.2017 09:30","42766","43558"
"01.01.2017 09:30 - 01.01.2017 09:45","43446","44178"
"01.01.2017 09:45 - 01.01.2017 10:00","44193","44686"
"01.01.2017 10:00 - 01.01.2017 10:15","44481","45392"
"01.01.2017 10:15 - 01.01.2017 10:30","46216","46061"
"01.01.2017 10:30 - 01.01.2017 10:45","46126","46573"
"01.01.2017 10:45 - 01.01.2017 11:00","47308","47286"
"01.01.2017 11:00 - 01.01.2017 11:15","47438","48027"
"01.01.2017 11:15 - 01.01.2017 11:30","48093","48686"
"01.01.2017 11:30 - 01.01.2017 11:45","48639","49227"
"01.01.2017 11:45 - 01.01.2017 12:00","49133","49477"
"01.01.2017 12:00 - 01.01.2017 12:15","48968","49850"
"01.01.2017 12:15 - 01.01.2017 12:30","48865","49777"
"01.01.2017 12:30 - 01.01.2017 12:45","48466","49703"
"01.01.2017 12:45 - 01.01.2017 13:00","47846","49448"
"01.01.2017 13:00 - 01.01.2017 13:15","47403","49142"
"01.01.2017 13:15 - 01.01.2017 13:30","47122","48742"
"01.01.2017 13:30 - 01.01.2017 13:45","46535","48512"
"01.01.2017 13:45 - 01.01.2017 14:00","46272","48138"
"01.01.2017 14:00 - 01.01.2017 14:15","45965","48022"
"01.01.2017 14:15 - 01.01.2017 14:30","45423","47887"
"01.01.2017 14:30 - 01.01.2017 14:45","46890","47642"
"01.01.2017 14:45 - 01.01.2017 15:00","45206","47419"
"01.01.2017 15:00 - 01.01.2017 15:15","46105","47938"
"01.01.2017 15:15 - 01.01.2017 15:30","45645","47954"
"01.01.2017 15:30 - 01.01.2017 15:45","45496","48156"
"01.01.2017 15:45 - 01.01.2017 16:00","46408","48306"
"01.01.2017 16:00 - 01.01.2017 16:15","46548","49194"
"01.01.2017 16:15 - 01.01.2017 16:30","47301","49731"
"01.01.2017 16:30 - 01.01.2017 16:45","48800","50787"
"01.01.2017 16:45 - 01.01.2017 17:00","48730","52313"
"01.01.2017 17:00 - 01.01.2017 17:15","50348","53904"
"01.01.2017 17:15 - 01.01.2017 17:30","50722","54689"
"01.01.2017 17:30 - 01.01.2017 17:45","51784","54993"
"01.01.2017 17:45 - 01.01.2017 18:00","51005","55197"
"01.01.2017 18:00 - 01.01.2017 18:15","50647","55561"
"01.01.2017 18:15 - 01.01.2017 18:30","51654","55599"
"01.01.2017 18:30 - 01.01.2017 18:45","51362","55565"
"01.01.2017 18:45 - 01.01.2017 19:00","50742","55388"
"01.01.2017 19:00 - 01.01.2017 19:15","51612","55348"
"01.01.2017 19:15 - 01.01.2017 19:30","50839","55025"
"01.01.2017 19:30 - 01.01.2017 19:45","50067","54678"
"01.01.2017 19:45 - 01.01.2017 20:00","50259","54166"
"01.01.2017 20:00 - 01.01.2017 20:15","49818","53705"
"01.01.2017 20:15 - 01.01.2017 20:30","49353","52951"
"01.01.2017 20:30 - 01.01.2017 20:45","48544","52228"
"01.01.2017 20:45 - 01.01.2017 21:00","48060","51666"
"01.01.2017 21:00 - 01.01.2017 21:15","47475","51459"
"01.01.2017 21:15 - 01.01.2017 21:30","47411","51172"
"01.01.2017 21:30 - 01.01.2017 21:45","48242","50912"
"01.01.2017 21:45 - 01.01.2017 22:00","47638","50936"
"01.01.2017 22:00 - 01.01.2017 22:15","48343","51634"
"01.01.2017 22:15 - 01.01.2017 22:30","48218","51248"
"01.01.2017 22:30 - 01.01.2017 22:45","46923","50566"
"01.01.2017 22:45 - 01.01.2017 23:00","46014","50034"
