"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2015 00:00 - 01.01.2015 00:15","42955","45274"
"01.01.2015 00:15 - 01.01.2015 00:30","42412","44870"
"01.01.2015 00:30 - 01.01.2015 00:45","41901","44964"
"01.01.2015 00:45 - 01.01.2015 01:00","41355","44894"
"01.01.2015 01:00 - 01.01.2015 01:15","40710","44442"
"01.01.2015 01:15 - 01.01.2015 01:30","40204","44057"
"01.01.2015 01:30 - 01.01.2015 01:45","39640","43635"
"01.01.2015 01:45 - 01.01.2015 02:00","39324","43199"
"01.01.2015 02:00 - 01.01.2015 02:15","39002","42970"
"01.01.2015 02:15 - 01.01.2015 02:30","38869","42543"
"01.01.2015 02:30 - 01.01.2015 02:45","38783","42102"
"01.01.2015 02:45 - 01.01.2015 03:00","38598","41674"
"01.01.2015 03:00 - 01.01.2015 03:15","38626","41384"
"01.01.2015 03:15 - 01.01.2015 03:30","38459","41059"
"01.01.2015 03:30 - 01.01.2015 03:45","38414","40824"
"01.01.2015 03:45 - 01.01.2015 04:00","38461","40597"
"01.01.2015 04:00 - 01.01.2015 04:15","38559","40493"
"01.01.2015 04:15 - 01.01.2015 04:30","38490","40201"
"01.01.2015 04:30 - 01.01.2015 04:45","38713","40268"
"01.01.2015 04:45 - 01.01.2015 05:00","38813","40172"
"01.01.2015 05:00 - 01.01.2015 05:15","38876","40124"
"01.01.2015 05:15 - 01.01.2015 05:30","38828","39822"
"01.01.2015 05:30 - 01.01.2015 05:45","38807","39523"
"01.01.2015 05:45 - 01.01.2015 06:00","38582","39018"
"01.01.2015 06:00 - 01.01.2015 06:15","37456","38237"
"01.01.2015 06:15 - 01.01.2015 06:30","36618","38125"
"01.01.2015 06:30 - 01.01.2015 06:45","37170","38245"
"01.01.2015 06:45 - 01.01.2015 07:00","37746","38174"
"01.01.2015 07:00 - 01.01.2015 07:15","39111","38317"
"01.01.2015 07:15 - 01.01.2015 07:30","40432","38329"
"01.01.2015 07:30 - 01.01.2015 07:45","40745","38566"
"01.01.2015 07:45 - 01.01.2015 08:00","41198","38741"
"01.01.2015 08:00 - 01.01.2015 08:15","42047","38896"
"01.01.2015 08:15 - 01.01.2015 08:30","42497","38931"
"01.01.2015 08:30 - 01.01.2015 08:45","42458","39196"
"01.01.2015 08:45 - 01.01.2015 09:00","43086","39754"
"01.01.2015 09:00 - 01.01.2015 09:15","44128","40639"
"01.01.2015 09:15 - 01.01.2015 09:30","44907","41378"
"01.01.2015 09:30 - 01.01.2015 09:45","45321","42147"
"01.01.2015 09:45 - 01.01.2015 10:00","45726","42971"
"01.01.2015 10:00 - 01.01.2015 10:15","46160","43556"
"01.01.2015 10:15 - 01.01.2015 10:30","46745","44240"
"01.01.2015 10:30 - 01.01.2015 10:45","47555","44993"
"01.01.2015 10:45 - 01.01.2015 11:00","47944","45713"
"01.01.2015 11:00 - 01.01.2015 11:15","48865","46733"
"01.01.2015 11:15 - 01.01.2015 11:30","49382","47284"
"01.01.2015 11:30 - 01.01.2015 11:45","50033","47871"
"01.01.2015 11:45 - 01.01.2015 12:00","50133","48460"
"01.01.2015 12:00 - 01.01.2015 12:15","50178","48650"
"01.01.2015 12:15 - 01.01.2015 12:30","50231","48990"
"01.01.2015 12:30 - 01.01.2015 12:45","50150","49063"
"01.01.2015 12:45 - 01.01.2015 13:00","49080","48735"
"01.01.2015 13:00 - 01.01.2015 13:15","47602","48374"
"01.01.2015 13:15 - 01.01.2015 13:30","47263","47948"
"01.01.2015 13:30 - 01.01.2015 13:45","47800","47875"
"01.01.2015 13:45 - 01.01.2015 14:00","47447","47683"
"01.01.2015 14:00 - 01.01.2015 14:15","46619","47583"
"01.01.2015 14:15 - 01.01.2015 14:30","46983","47282"
"01.01.2015 14:30 - 01.01.2015 14:45","47635","47209"
"01.01.2015 14:45 - 01.01.2015 15:00","47149","46820"
"01.01.2015 15:00 - 01.01.2015 15:15","47423","47038"
"01.01.2015 15:15 - 01.01.2015 15:30","47436","47147"
"01.01.2015 15:30 - 01.01.2015 15:45","47270","47123"
"01.01.2015 15:45 - 01.01.2015 16:00","47403","47479"
"01.01.2015 16:00 - 01.01.2015 16:15","47838","47740"
"01.01.2015 16:15 - 01.01.2015 16:30","48181","48681"
"01.01.2015 16:30 - 01.01.2015 16:45","49234","50156"
"01.01.2015 16:45 - 01.01.2015 17:00","50490","51653"
"01.01.2015 17:00 - 01.01.2015 17:15","51307","53072"
"01.01.2015 17:15 - 01.01.2015 17:30","52149","53923"
"01.01.2015 17:30 - 01.01.2015 17:45","52753","54533"
"01.01.2015 17:45 - 01.01.2015 18:00","52943","54666"
"01.01.2015 18:00 - 01.01.2015 18:15","53375","54871"
"01.01.2015 18:15 - 01.01.2015 18:30","53496","54841"
"01.01.2015 18:30 - 01.01.2015 18:45","53421","54761"
"01.01.2015 18:45 - 01.01.2015 19:00","53177","54469"
"01.01.2015 19:00 - 01.01.2015 19:15","53186","54441"
"01.01.2015 19:15 - 01.01.2015 19:30","52873","54377"
"01.01.2015 19:30 - 01.01.2015 19:45","52481","53954"
"01.01.2015 19:45 - 01.01.2015 20:00","51855","53497"
"01.01.2015 20:00 - 01.01.2015 20:15","51271","53085"
"01.01.2015 20:15 - 01.01.2015 20:30","50361","52281"
"01.01.2015 20:30 - 01.01.2015 20:45","49513","51251"
"01.01.2015 20:45 - 01.01.2015 21:00","48936","50661"
"01.01.2015 21:00 - 01.01.2015 21:15","48941","50756"
"01.01.2015 21:15 - 01.01.2015 21:30","48728","50613"
"01.01.2015 21:30 - 01.01.2015 21:45","47372","50302"
"01.01.2015 21:45 - 01.01.2015 22:00","47344","50620"
"01.01.2015 22:00 - 01.01.2015 22:15","48079","51566"
"01.01.2015 22:15 - 01.01.2015 22:30","47771","50878"
"01.01.2015 22:30 - 01.01.2015 22:45","48080","50331"
"01.01.2015 22:45 - 01.01.2015 23:00","47284","49426"
"01.01.2015 23:00 - 01.01.2015 23:15","46677","49024"
"01.01.2015 23:15 - 01.01.2015 23:30","46067","48197"
"01.01.2015 23:30 - 01.01.2015 23:45","44100","47376"
"01.01.2015 23:45 - 02.01.2015 00:00","42660","46770"
"02.01.2015 00:00 - 02.01.2015 00:15","41215","45387"
"02.01.2015 00:15 - 02.01.2015 00:30","39055","45621"
"02.01.2015 00:30 - 02.01.2015 00:45","40238","44395"
"02.01.2015 00:45 - 02.01.2015 01:00","39805","43847"
"02.01.2015 01:00 - 02.01.2015 01:15","39257","43634"
"02.01.2015 01:15 - 02.01.2015 01:30","38803","43062"
"02.01.2015 01:30 - 02.01.2015 01:45","38517","42740"
"02.01.2015 01:45 - 02.01.2015 02:00","38269","42510"
"02.01.2015 02:00 - 02.01.2015 02:15","37882","42379"
"02.01.2015 02:15 - 02.01.2015 02:30","37817","42159"
"02.01.2015 02:30 - 02.01.2015 02:45","37831","42012"
"02.01.2015 02:45 - 02.01.2015 03:00","37749","41957"
"02.01.2015 03:00 - 02.01.2015 03:15","37877","42015"
"02.01.2015 03:15 - 02.01.2015 03:30","37794","42069"
"02.01.2015 03:30 - 02.01.2015 03:45","37735","42186"
"02.01.2015 03:45 - 02.01.2015 04:00","37907","42141"
"02.01.2015 04:00 - 02.01.2015 04:15","38537","42558"
"02.01.2015 04:15 - 02.01.2015 04:30","38679","42618"
"02.01.2015 04:30 - 02.01.2015 04:45","38990","42960"
"02.01.2015 04:45 - 02.01.2015 05:00","39493","43170"
"02.01.2015 05:00 - 02.01.2015 05:15","40010","43841"
"02.01.2015 05:15 - 02.01.2015 05:30","39979","43872"
"02.01.2015 05:30 - 02.01.2015 05:45","40613","44199"
"02.01.2015 05:45 - 02.01.2015 06:00","41408","44812"
"02.01.2015 06:00 - 02.01.2015 06:15","42119","45348"
"02.01.2015 06:15 - 02.01.2015 06:30","42613","46079"
"02.01.2015 06:30 - 02.01.2015 06:45","43850","47130"
"02.01.2015 06:45 - 02.01.2015 07:00","45019","48224"
"02.01.2015 07:00 - 02.01.2015 07:15","47059","49932"
"02.01.2015 07:15 - 02.01.2015 07:30","48854","50692"
"02.01.2015 07:30 - 02.01.2015 07:45","49747","51548"
"02.01.2015 07:45 - 02.01.2015 08:00","50499","52800"
"02.01.2015 08:00 - 02.01.2015 08:15","51317","53953"
"02.01.2015 08:15 - 02.01.2015 08:30","51397","54863"
"02.01.2015 08:30 - 02.01.2015 08:45","51617","55465"
"02.01.2015 08:45 - 02.01.2015 09:00","51829","56214"
"02.01.2015 09:00 - 02.01.2015 09:15","52335","57382"
"02.01.2015 09:15 - 02.01.2015 09:30","53045","57934"
"02.01.2015 09:30 - 02.01.2015 09:45","53413","58606"
"02.01.2015 09:45 - 02.01.2015 10:00","53739","59180"
"02.01.2015 10:00 - 02.01.2015 10:15","54066","59781"
"02.01.2015 10:15 - 02.01.2015 10:30","54205","60090"
"02.01.2015 10:30 - 02.01.2015 10:45","54545","60482"
"02.01.2015 10:45 - 02.01.2015 11:00","54966","60499"
"02.01.2015 11:00 - 02.01.2015 11:15","55287","61050"
"02.01.2015 11:15 - 02.01.2015 11:30","55780","61621"
"02.01.2015 11:30 - 02.01.2015 11:45","55933","61928"
"02.01.2015 11:45 - 02.01.2015 12:00","55742","62320"
"02.01.2015 12:00 - 02.01.2015 12:15","55955","62348"
"02.01.2015 12:15 - 02.01.2015 12:30","55824","62064"
"02.01.2015 12:30 - 02.01.2015 12:45","55848","61968"
"02.01.2015 12:45 - 02.01.2015 13:00","54880","61508"
"02.01.2015 13:00 - 02.01.2015 13:15","53581","61396"
"02.01.2015 13:15 - 02.01.2015 13:30","53376","61080"
"02.01.2015 13:30 - 02.01.2015 13:45","53995","60734"
"02.01.2015 13:45 - 02.01.2015 14:00","53840","60338"
"02.01.2015 14:00 - 02.01.2015 14:15","52378","60072"
"02.01.2015 14:15 - 02.01.2015 14:30","53257","59850"
"02.01.2015 14:30 - 02.01.2015 14:45","53852","59592"
"02.01.2015 14:45 - 02.01.2015 15:00","53772","59291"
"02.01.2015 15:00 - 02.01.2015 15:15","53629","59309"
"02.01.2015 15:15 - 02.01.2015 15:30","53191","59004"
"02.01.2015 15:30 - 02.01.2015 15:45","53237","58772"
"02.01.2015 15:45 - 02.01.2015 16:00","53043","58903"
"02.01.2015 16:00 - 02.01.2015 16:15","53466","59067"
"02.01.2015 16:15 - 02.01.2015 16:30","53840","60139"
"02.01.2015 16:30 - 02.01.2015 16:45","54818","60793"
"02.01.2015 16:45 - 02.01.2015 17:00","55839","61648"
"02.01.2015 17:00 - 02.01.2015 17:15","56468","62937"
"02.01.2015 17:15 - 02.01.2015 17:30","57288","63346"
"02.01.2015 17:30 - 02.01.2015 17:45","57505","63524"
"02.01.2015 17:45 - 02.01.2015 18:00","57670","63841"
"02.01.2015 18:00 - 02.01.2015 18:15","57651","64028"
"02.01.2015 18:15 - 02.01.2015 18:30","57332","63827"
"02.01.2015 18:30 - 02.01.2015 18:45","57203","63681"
