"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2021 00:30 - 02.01.2021 00:45","42183","42539"
"02.01.2021 00:45 - 02.01.2021 01:00","41759","42136"
"02.01.2021 01:00 - 02.01.2021 01:15","41588","41586"
"02.01.2021 01:15 - 02.01.2021 01:30","41236","41182"
"02.01.2021 01:30 - 02.01.2021 01:45","41091","40825"
"02.01.2021 01:45 - 02.01.2021 02:00","40946","40447"
"02.01.2021 02:00 - 02.01.2021 02:15","40626","40188"
"02.01.2021 02:15 - 02.01.2021 02:30","40449","40065"
"02.01.2021 02:30 - 02.01.2021 02:45","40466","39918"
"02.01.2021 02:45 - 02.01.2021 03:00","40316","39894"
"02.01.2021 03:00 - 02.01.2021 03:15","40220","39714"
"02.01.2021 03:15 - 02.01.2021 03:30","40274","39744"
"02.01.2021 03:30 - 02.01.2021 03:45","40283","39997"
"02.01.2021 03:45 - 02.01.2021 04:00","40319","40022"
"02.01.2021 04:00 - 02.01.2021 04:15","40262","40328"
"02.01.2021 04:15 - 02.01.2021 04:30","40140","40509"
"02.01.2021 04:30 - 02.01.2021 04:45","40384","40652"
"02.01.2021 04:45 - 02.01.2021 05:00","40279","40698"
"02.01.2021 05:00 - 02.01.2021 05:15","40336","40964"
"02.01.2021 05:15 - 02.01.2021 05:30","40491","40737"
"02.01.2021 05:30 - 02.01.2021 05:45","40706","40934"
"02.01.2021 05:45 - 02.01.2021 06:00","41042","41263"
"02.01.2021 06:00 - 02.01.2021 06:15","41264","41766"
"02.01.2021 06:15 - 02.01.2021 06:30","41753","42039"
"02.01.2021 06:30 - 02.01.2021 06:45","41964","42433"
"02.01.2021 06:45 - 02.01.2021 07:00","42603","42735"
"02.01.2021 07:00 - 02.01.2021 07:15","43294","43396"
"02.01.2021 07:15 - 02.01.2021 07:30","43708","43881"
"02.01.2021 07:30 - 02.01.2021 07:45","44633","44256"
"02.01.2021 07:45 - 02.01.2021 08:00","45654","44831"
"02.01.2021 08:00 - 02.01.2021 08:15","46735","45263"
"02.01.2021 08:15 - 02.01.2021 08:30","47532","45986"
"02.01.2021 08:30 - 02.01.2021 08:45","48013","46473"
"02.01.2021 08:45 - 02.01.2021 09:00","48649","47152"
"02.01.2021 09:00 - 02.01.2021 09:15","49758","48169"
"02.01.2021 09:15 - 02.01.2021 09:30","50721","48956"
"02.01.2021 09:30 - 02.01.2021 09:45","51322","49568"
"02.01.2021 09:45 - 02.01.2021 10:00","51836","50082"
"02.01.2021 10:00 - 02.01.2021 10:15","52508","50691"
"02.01.2021 10:15 - 02.01.2021 10:30","52825","51317"
"02.01.2021 10:30 - 02.01.2021 10:45","53133","51907"
"02.01.2021 10:45 - 02.01.2021 11:00","53451","52223"
"02.01.2021 11:00 - 02.01.2021 11:15","53699","52853"
"02.01.2021 11:15 - 02.01.2021 11:30","54289","53496"
"02.01.2021 11:30 - 02.01.2021 11:45","54410","53887"
"02.01.2021 11:45 - 02.01.2021 12:00","54424","54104"
"02.01.2021 12:00 - 02.01.2021 12:15","54118","54589"
"02.01.2021 12:15 - 02.01.2021 12:30","54028","54577"
"02.01.2021 12:30 - 02.01.2021 12:45","53633","54554"
"02.01.2021 12:45 - 02.01.2021 13:00","53403","54304"
"02.01.2021 13:00 - 02.01.2021 13:15","53102","54076"
"02.01.2021 13:15 - 02.01.2021 13:30","52849","53743"
"02.01.2021 13:30 - 02.01.2021 13:45","52835","53485"
"02.01.2021 13:45 - 02.01.2021 14:00","52136","53182"
"02.01.2021 14:00 - 02.01.2021 14:15","52057","52898"
"02.01.2021 14:15 - 02.01.2021 14:30","52046","52699"
"02.01.2021 14:30 - 02.01.2021 14:45","51869","52650"
"02.01.2021 14:45 - 02.01.2021 15:00","51761","52431"
"02.01.2021 15:00 - 02.01.2021 15:15","51765","52549"
"02.01.2021 15:15 - 02.01.2021 15:30","51674","52669"
"02.01.2021 15:30 - 02.01.2021 15:45","51897","52829"
"02.01.2021 15:45 - 02.01.2021 16:00","52114","52837"
"02.01.2021 16:00 - 02.01.2021 16:15","52422","53407"
"02.01.2021 16:15 - 02.01.2021 16:30","52949","53917"
"02.01.2021 16:30 - 02.01.2021 16:45","53646","54881"
"02.01.2021 16:45 - 02.01.2021 17:00","54554","55799"
"02.01.2021 17:00 - 02.01.2021 17:15","55583","56880"
"02.01.2021 17:15 - 02.01.2021 17:30","56152","57385"
"02.01.2021 17:30 - 02.01.2021 17:45","56591","58024"
"02.01.2021 17:45 - 02.01.2021 18:00","57003","58241"
"02.01.2021 18:00 - 02.01.2021 18:15","57150","58395"
"02.01.2021 18:15 - 02.01.2021 18:30","56617","58219"
"02.01.2021 18:30 - 02.01.2021 18:45","56444","57943"
"02.01.2021 18:45 - 02.01.2021 19:00","55990","57519"
"02.01.2021 19:00 - 02.01.2021 19:15","55705","56940"
"02.01.2021 19:15 - 02.01.2021 19:30","55133","56461"
"02.01.2021 19:30 - 02.01.2021 19:45","54460","55861"
"02.01.2021 19:45 - 02.01.2021 20:00","53975","55114"
"02.01.2021 20:00 - 02.01.2021 20:15","53187","54020"
"02.01.2021 20:15 - 02.01.2021 20:30","51861","53020"
"02.01.2021 20:30 - 02.01.2021 20:45","50791","52243"
"02.01.2021 20:45 - 02.01.2021 21:00","50176","51360"
"02.01.2021 21:00 - 02.01.2021 21:15","49889","50939"
"02.01.2021 21:15 - 02.01.2021 21:30","49199","50468"
"02.01.2021 21:30 - 02.01.2021 21:45","48785","50006"
"02.01.2021 21:45 - 02.01.2021 22:00","48422","49723"
"02.01.2021 22:00 - 02.01.2021 22:15","48897","50316"
"02.01.2021 22:15 - 02.01.2021 22:30","48335","49804"
"02.01.2021 22:30 - 02.01.2021 22:45","47729","49098"
"02.01.2021 22:45 - 02.01.2021 23:00","47017","48622"
"02.01.2021 23:00 - 02.01.2021 23:15","46125","48223"
"02.01.2021 23:15 - 02.01.2021 23:30","45511","47637"
"02.01.2021 23:30 - 02.01.2021 23:45","44808","47322"
"02.01.2021 23:45 - 03.01.2021 00:00","44239","46722"
"03.01.2021 00:00 - 03.01.2021 00:15","42897","45465"
"03.01.2021 00:15 - 03.01.2021 00:30","42320","44671"
"03.01.2021 00:30 - 03.01.2021 00:45","41790","44128"
"03.01.2021 00:45 - 03.01.2021 01:00","41428","43626"
"03.01.2021 01:00 - 03.01.2021 01:15","40761","43190"
"03.01.2021 01:15 - 03.01.2021 01:30","40220","42589"
"03.01.2021 01:30 - 03.01.2021 01:45","39668","42121"
"03.01.2021 01:45 - 03.01.2021 02:00","39313","41857"
"03.01.2021 02:00 - 03.01.2021 02:15","39420","41561"
"03.01.2021 02:15 - 03.01.2021 02:30","39270","41325"
"03.01.2021 02:30 - 03.01.2021 02:45","38943","41143"
"03.01.2021 02:45 - 03.01.2021 03:00","38858","41145"
"03.01.2021 03:00 - 03.01.2021 03:15","38836","41221"
"03.01.2021 03:15 - 03.01.2021 03:30","38936","41303"
"03.01.2021 03:30 - 03.01.2021 03:45","38625","41430"
"03.01.2021 03:45 - 03.01.2021 04:00","38758","41446"
"03.01.2021 04:00 - 03.01.2021 04:15","38667","41736"
"03.01.2021 04:15 - 03.01.2021 04:30","38668","41745"
"03.01.2021 04:30 - 03.01.2021 04:45","38597","41871"
"03.01.2021 04:45 - 03.01.2021 05:00","38592","42057"
"03.01.2021 05:00 - 03.01.2021 05:15","38608","42559"
"03.01.2021 05:15 - 03.01.2021 05:30","38271","42430"
"03.01.2021 05:30 - 03.01.2021 05:45","38285","42513"
"03.01.2021 05:45 - 03.01.2021 06:00","37911","42271"
"03.01.2021 06:00 - 03.01.2021 06:15","37691","42060"
"03.01.2021 06:15 - 03.01.2021 06:30","37534","42278"
"03.01.2021 06:30 - 03.01.2021 06:45","37843","42502"
"03.01.2021 06:45 - 03.01.2021 07:00","37761","42786"
"03.01.2021 07:00 - 03.01.2021 07:15","38056","43189"
"03.01.2021 07:15 - 03.01.2021 07:30","38361","43354"
"03.01.2021 07:30 - 03.01.2021 07:45","38754","43821"
"03.01.2021 07:45 - 03.01.2021 08:00","39470","44579"
"03.01.2021 08:00 - 03.01.2021 08:15","40259","45580"
"03.01.2021 08:15 - 03.01.2021 08:30","40738","46420"
"03.01.2021 08:30 - 03.01.2021 08:45","41533","46931"
"03.01.2021 08:45 - 03.01.2021 09:00","42414","47750"
"03.01.2021 09:00 - 03.01.2021 09:15","43176","48811"
"03.01.2021 09:15 - 03.01.2021 09:30","44244","49718"
"03.01.2021 09:30 - 03.01.2021 09:45","44984","50562"
"03.01.2021 09:45 - 03.01.2021 10:00","45365","51178"
"03.01.2021 10:00 - 03.01.2021 10:15","46346","51699"
"03.01.2021 10:15 - 03.01.2021 10:30","47337","52577"
"03.01.2021 10:30 - 03.01.2021 10:45","47767","53224"
"03.01.2021 10:45 - 03.01.2021 11:00","48236","53939"
"03.01.2021 11:00 - 03.01.2021 11:15","48978","55116"
