"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2022 00:00 - 01.01.2022 00:15","42575","44646"
"01.01.2022 00:15 - 01.01.2022 00:30","42211","44235"
"01.01.2022 00:30 - 01.01.2022 00:45","41808","43727"
"01.01.2022 00:45 - 01.01.2022 01:00","41364","43054"
"01.01.2022 01:00 - 01.01.2022 01:15","40795","42196"
"01.01.2022 01:15 - 01.01.2022 01:30","40205","41804"
"01.01.2022 01:30 - 01.01.2022 01:45","39826","41141"
"01.01.2022 01:45 - 01.01.2022 02:00","39596","41002"
"01.01.2022 02:00 - 01.01.2022 02:15","39231","41178"
"01.01.2022 02:15 - 01.01.2022 02:30","39032","40635"
"01.01.2022 02:30 - 01.01.2022 02:45","38495","40162"
"01.01.2022 02:45 - 01.01.2022 03:00","38378","39948"
"01.01.2022 03:00 - 01.01.2022 03:15","38005","39670"
"01.01.2022 03:15 - 01.01.2022 03:30","37794","39560"
"01.01.2022 03:30 - 01.01.2022 03:45","37719","39547"
"01.01.2022 03:45 - 01.01.2022 04:00","37486","39479"
"01.01.2022 04:00 - 01.01.2022 04:15","37885","39449"
"01.01.2022 04:15 - 01.01.2022 04:30","37891","39279"
"01.01.2022 04:30 - 01.01.2022 04:45","37926","39485"
"01.01.2022 04:45 - 01.01.2022 05:00","37807","39140"
"01.01.2022 05:00 - 01.01.2022 05:15","37467","39112"
"01.01.2022 05:15 - 01.01.2022 05:30","37212","38926"
"01.01.2022 05:30 - 01.01.2022 05:45","36977","38800"
"01.01.2022 05:45 - 01.01.2022 06:00","36535","38468"
"01.01.2022 06:00 - 01.01.2022 06:15","35440","38358"
"01.01.2022 06:15 - 01.01.2022 06:30","35731","38389"
"01.01.2022 06:30 - 01.01.2022 06:45","35520","38397"
"01.01.2022 06:45 - 01.01.2022 07:00","35737","38508"
"01.01.2022 07:00 - 01.01.2022 07:15","35965","38968"
"01.01.2022 07:15 - 01.01.2022 07:30","36699","38902"
"01.01.2022 07:30 - 01.01.2022 07:45","37189","39125"
"01.01.2022 07:45 - 01.01.2022 08:00","37770","39310"
"01.01.2022 08:00 - 01.01.2022 08:15","38669","39973"
"01.01.2022 08:15 - 01.01.2022 08:30","39051","40273"
"01.01.2022 08:30 - 01.01.2022 08:45","39663","40338"
"01.01.2022 08:45 - 01.01.2022 09:00","40478","40613"
"01.01.2022 09:00 - 01.01.2022 09:15","41202","41769"
"01.01.2022 09:15 - 01.01.2022 09:30","41942","42323"
"01.01.2022 09:30 - 01.01.2022 09:45","42750","42835"
"01.01.2022 09:45 - 01.01.2022 10:00","43449","43113"
"01.01.2022 10:00 - 01.01.2022 10:15","43999","43584"
"01.01.2022 10:15 - 01.01.2022 10:30","44462","44138"
"01.01.2022 10:30 - 01.01.2022 10:45","44873","44617"
"01.01.2022 10:45 - 01.01.2022 11:00","45774","45189"
"01.01.2022 11:00 - 01.01.2022 11:15","46588","45883"
"01.01.2022 11:15 - 01.01.2022 11:30","47374","46612"
"01.01.2022 11:30 - 01.01.2022 11:45","48334","47216"
"01.01.2022 11:45 - 01.01.2022 12:00","48300","47217"
"01.01.2022 12:00 - 01.01.2022 12:15","48648","47288"
"01.01.2022 12:15 - 01.01.2022 12:30","48703","47339"
"01.01.2022 12:30 - 01.01.2022 12:45","48519","47727"
"01.01.2022 12:45 - 01.01.2022 13:00","48564","46901"
"01.01.2022 13:00 - 01.01.2022 13:15","47940","46557"
"01.01.2022 13:15 - 01.01.2022 13:30","47370","46249"
"01.01.2022 13:30 - 01.01.2022 13:45","47129","46380"
"01.01.2022 13:45 - 01.01.2022 14:00","46886","46379"
"01.01.2022 14:00 - 01.01.2022 14:15","46508","45912"
"01.01.2022 14:15 - 01.01.2022 14:30","46099","45687"
"01.01.2022 14:30 - 01.01.2022 14:45","45958","45655"
"01.01.2022 14:45 - 01.01.2022 15:00","45693","45660"
"01.01.2022 15:00 - 01.01.2022 15:15","45844","45728"
"01.01.2022 15:15 - 01.01.2022 15:30","45746","45529"
"01.01.2022 15:30 - 01.01.2022 15:45","45723","45606"
"01.01.2022 15:45 - 01.01.2022 16:00","46425","45869"
"01.01.2022 16:00 - 01.01.2022 16:15","46472","46584"
"01.01.2022 16:15 - 01.01.2022 16:30","47036","47241"
"01.01.2022 16:30 - 01.01.2022 16:45","48190","48297"
"01.01.2022 16:45 - 01.01.2022 17:00","49363","49493"
"01.01.2022 17:00 - 01.01.2022 17:15","50170","50701"
"01.01.2022 17:15 - 01.01.2022 17:30","50800","51394"
"01.01.2022 17:30 - 01.01.2022 17:45","51181","52065"
"01.01.2022 17:45 - 01.01.2022 18:00","51446","52322"
"01.01.2022 18:00 - 01.01.2022 18:15","51817","52606"
"01.01.2022 18:15 - 01.01.2022 18:30","52016","52790"
"01.01.2022 18:30 - 01.01.2022 18:45","52074","52580"
"01.01.2022 18:45 - 01.01.2022 19:00","51651","52405"
"01.01.2022 19:00 - 01.01.2022 19:15","51424","52136"
"01.01.2022 19:15 - 01.01.2022 19:30","50488","51882"
"01.01.2022 19:30 - 01.01.2022 19:45","50640","51539"
"01.01.2022 19:45 - 01.01.2022 20:00","49923","50923"
"01.01.2022 20:00 - 01.01.2022 20:15","49237","50581"
"01.01.2022 20:15 - 01.01.2022 20:30","48731","49963"
"01.01.2022 20:30 - 01.01.2022 20:45","48243","49345"
"01.01.2022 20:45 - 01.01.2022 21:00","47583","48842"
"01.01.2022 21:00 - 01.01.2022 21:15","47272","48499"
"01.01.2022 21:15 - 01.01.2022 21:30","47193","47988"
"01.01.2022 21:30 - 01.01.2022 21:45","47146","47976"
"01.01.2022 21:45 - 01.01.2022 22:00","46932","47745"
"01.01.2022 22:00 - 01.01.2022 22:15","47212","48091"
"01.01.2022 22:15 - 01.01.2022 22:30","46883","47792"
"01.01.2022 22:30 - 01.01.2022 22:45","46490","47301"
"01.01.2022 22:45 - 01.01.2022 23:00","45955","46723"
"01.01.2022 23:00 - 01.01.2022 23:15","45353","45868"
"01.01.2022 23:15 - 01.01.2022 23:30","44737","45264"
"01.01.2022 23:30 - 01.01.2022 23:45","43842","44665"
"01.01.2022 23:45 - 02.01.2022 00:00","43072","43690"
"02.01.2022 00:00 - 02.01.2022 00:15","45744","42896"
"02.01.2022 00:15 - 02.01.2022 00:30","45511","42690"
"02.01.2022 00:30 - 02.01.2022 00:45","45071","42839"
"02.01.2022 00:45 - 02.01.2022 01:00","44749","42263"
"02.01.2022 01:00 - 02.01.2022 01:15","44587","42218"
"02.01.2022 01:15 - 02.01.2022 01:30","44184","41463"
"02.01.2022 01:30 - 02.01.2022 01:45","44081","41064"
"02.01.2022 01:45 - 02.01.2022 02:00","43916","41187"
"02.01.2022 02:00 - 02.01.2022 02:15","43869","41088"
"02.01.2022 02:15 - 02.01.2022 02:30","43934","40785"
"02.01.2022 02:30 - 02.01.2022 02:45","43750","40685"
"02.01.2022 02:45 - 02.01.2022 03:00","43782","40504"
"02.01.2022 03:00 - 02.01.2022 03:15","43658","40425"
"02.01.2022 03:15 - 02.01.2022 03:30","43650","40450"
"02.01.2022 03:30 - 02.01.2022 03:45","43630","40566"
"02.01.2022 03:45 - 02.01.2022 04:00","43770","40705"
"02.01.2022 04:00 - 02.01.2022 04:15","44062","40913"
"02.01.2022 04:15 - 02.01.2022 04:30","44270","40475"
"02.01.2022 04:30 - 02.01.2022 04:45","44410","40708"
"02.01.2022 04:45 - 02.01.2022 05:00","44400","40756"
"02.01.2022 05:00 - 02.01.2022 05:15","44260","40947"
"02.01.2022 05:15 - 02.01.2022 05:30","44074","40611"
"02.01.2022 05:30 - 02.01.2022 05:45","44050","40708"
"02.01.2022 05:45 - 02.01.2022 06:00","44185","40720"
"02.01.2022 06:00 - 02.01.2022 06:15","43691","40300"
"02.01.2022 06:15 - 02.01.2022 06:30","43786","40217"
"02.01.2022 06:30 - 02.01.2022 06:45","43744","40357"
"02.01.2022 06:45 - 02.01.2022 07:00","43888","40716"
"02.01.2022 07:00 - 02.01.2022 07:15","43726","41299"
"02.01.2022 07:15 - 02.01.2022 07:30","44200","41895"
"02.01.2022 07:30 - 02.01.2022 07:45","44862","42560"
"02.01.2022 07:45 - 02.01.2022 08:00","45436","43260"
"02.01.2022 08:00 - 02.01.2022 08:15","46034","44197"
"02.01.2022 08:15 - 02.01.2022 08:30","46580","44975"
"02.01.2022 08:30 - 02.01.2022 08:45","47505","45873"
"02.01.2022 08:45 - 02.01.2022 09:00","48527","46626"
"02.01.2022 09:00 - 02.01.2022 09:15","49513","47727"
"02.01.2022 09:15 - 02.01.2022 09:30","50561","48216"
"02.01.2022 09:30 - 02.01.2022 09:45","51048","48482"
"02.01.2022 09:45 - 02.01.2022 10:00","51634","48950"
"02.01.2022 10:00 - 02.01.2022 10:15","52246","49844"
"02.01.2022 10:15 - 02.01.2022 10:30","52839","50029"
"02.01.2022 10:30 - 02.01.2022 10:45","53213","50907"
"02.01.2022 10:45 - 02.01.2022 11:00","53646","51553"
"02.01.2022 11:00 - 02.01.2022 11:15","54463","52540"
"02.01.2022 11:15 - 02.01.2022 11:30","55105","53651"
"02.01.2022 11:30 - 02.01.2022 11:45","55528","54146"
"02.01.2022 11:45 - 02.01.2022 12:00","55459","54244"
"02.01.2022 12:00 - 02.01.2022 12:15","55631","54759"
"02.01.2022 12:15 - 02.01.2022 12:30","55418","54646"
"02.01.2022 12:30 - 02.01.2022 12:45","55113","54523"
"02.01.2022 12:45 - 02.01.2022 13:00","54979","54222"
"02.01.2022 13:00 - 02.01.2022 13:15","54904","53702"
"02.01.2022 13:15 - 02.01.2022 13:30","54540","53332"
"02.01.2022 13:30 - 02.01.2022 13:45","54204","53043"
"02.01.2022 13:45 - 02.01.2022 14:00","53929","53255"
"02.01.2022 14:00 - 02.01.2022 14:15","53799","52992"
"02.01.2022 14:15 - 02.01.2022 14:30","53521","52762"
"02.01.2022 14:30 - 02.01.2022 14:45","53331","52504"
"02.01.2022 14:45 - 02.01.2022 15:00","52915","52512"
"02.01.2022 15:00 - 02.01.2022 15:15","52971","53098"
"02.01.2022 15:15 - 02.01.2022 15:30","52718","53078"
"02.01.2022 15:30 - 02.01.2022 15:45","52545","53312"
"02.01.2022 15:45 - 02.01.2022 16:00","52778","53485"
"02.01.2022 16:00 - 02.01.2022 16:15","52985","54547"
"02.01.2022 16:15 - 02.01.2022 16:30","53400","55081"
"02.01.2022 16:30 - 02.01.2022 16:45","54328","55637"
"02.01.2022 16:45 - 02.01.2022 17:00","55352","56886"
"02.01.2022 17:00 - 02.01.2022 17:15","56368","57978"
"02.01.2022 17:15 - 02.01.2022 17:30","56713","58473"
"02.01.2022 17:30 - 02.01.2022 17:45","57136","58920"
"02.01.2022 17:45 - 02.01.2022 18:00","57407","59020"
"02.01.2022 18:00 - 02.01.2022 18:15","57829","58800"
"02.01.2022 18:15 - 02.01.2022 18:30","58034","58790"
"02.01.2022 18:30 - 02.01.2022 18:45","58174","58908"
"02.01.2022 18:45 - 02.01.2022 19:00","58002","58558"
"02.01.2022 19:00 - 02.01.2022 19:15","58086","58038"
"02.01.2022 19:15 - 02.01.2022 19:30","57826","57628"
"02.01.2022 19:30 - 02.01.2022 19:45","57387","57262"
"02.01.2022 19:45 - 02.01.2022 20:00","56916","56501"
"02.01.2022 20:00 - 02.01.2022 20:15","56657","55854"
"02.01.2022 20:15 - 02.01.2022 20:30","56172","55156"
"02.01.2022 20:30 - 02.01.2022 20:45","55328","54431"
"02.01.2022 20:45 - 02.01.2022 21:00","54754","53728"
"02.01.2022 21:00 - 02.01.2022 21:15","54337","53114"
"02.01.2022 21:15 - 02.01.2022 21:30","54048","52697"
"02.01.2022 21:30 - 02.01.2022 21:45","53751","52246"
"02.01.2022 21:45 - 02.01.2022 22:00","53696","51814"
"02.01.2022 22:00 - 02.01.2022 22:15","54289","52015"
"02.01.2022 22:15 - 02.01.2022 22:30","53909","51492"
"02.01.2022 22:30 - 02.01.2022 22:45","53277","50639"
"02.01.2022 22:45 - 02.01.2022 23:00","52553","49593"
"02.01.2022 23:00 - 02.01.2022 23:15","51610","48996"
"02.01.2022 23:15 - 02.01.2022 23:30","51160","48064"
"02.01.2022 23:30 - 02.01.2022 23:45","50510","47587"
"02.01.2022 23:45 - 03.01.2022 00:00","50102","46846"
"03.01.2022 00:00 - 03.01.2022 00:15","49675","45952"
"03.01.2022 00:15 - 03.01.2022 00:30","49073","45642"
"03.01.2022 00:30 - 03.01.2022 00:45","48586","45284"
"03.01.2022 00:45 - 03.01.2022 01:00","48029","44645"
"03.01.2022 01:00 - 03.01.2022 01:15","47684","44267"
"03.01.2022 01:15 - 03.01.2022 01:30","47271","43712"
"03.01.2022 01:30 - 03.01.2022 01:45","46943","43569"
"03.01.2022 01:45 - 03.01.2022 02:00","46666","43000"
"03.01.2022 02:00 - 03.01.2022 02:15","46537","42688"
"03.01.2022 02:15 - 03.01.2022 02:30","46602","42441"
"03.01.2022 02:30 - 03.01.2022 02:45","46493","42604"
"03.01.2022 02:45 - 03.01.2022 03:00","46505","42551"
"03.01.2022 03:00 - 03.01.2022 03:15","46620","42947"
"03.01.2022 03:15 - 03.01.2022 03:30","46757","42843"
"03.01.2022 03:30 - 03.01.2022 03:45","47019","43104"
"03.01.2022 03:45 - 03.01.2022 04:00","47239","43521"
"03.01.2022 04:00 - 03.01.2022 04:15","47842","43869"
"03.01.2022 04:15 - 03.01.2022 04:30","48101","44089"
"03.01.2022 04:30 - 03.01.2022 04:45","48383","44624"
"03.01.2022 04:45 - 03.01.2022 05:00","48979","45702"
"03.01.2022 05:00 - 03.01.2022 05:15","49997","47216"
"03.01.2022 05:15 - 03.01.2022 05:30","50376","47837"
"03.01.2022 05:30 - 03.01.2022 05:45","51504","48437"
"03.01.2022 05:45 - 03.01.2022 06:00","52748","49965"
"03.01.2022 06:00 - 03.01.2022 06:15","54484","52835"
"03.01.2022 06:15 - 03.01.2022 06:30","55926","54523"
"03.01.2022 06:30 - 03.01.2022 06:45","57277","56365"
"03.01.2022 06:45 - 03.01.2022 07:00","58555","57932"
"03.01.2022 07:00 - 03.01.2022 07:15","60198","59789"
"03.01.2022 07:15 - 03.01.2022 07:30","60909","61048"
"03.01.2022 07:30 - 03.01.2022 07:45","61638","62125"
"03.01.2022 07:45 - 03.01.2022 08:00","62331","63408"
"03.01.2022 08:00 - 03.01.2022 08:15","63347","64313"
"03.01.2022 08:15 - 03.01.2022 08:30","63622","64907"
