labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
74,20962.5,19849,16624.75,16192.25,17040.75,15626.5,14784,20962.5,16192.25
75,21338.5,19486.75,16340.25,16138.75,16999.5,15246.5,14782.5,21338.5,16138.75
76,20922.25,19597.5,16452,16764.5,17067.75,15145.75,14797.25,20922.25,16764.5
77,20412.5,20726.75,16920,17582.5,17104.25,15213.5,14899.5,20412.5,17582.5
78,19431,21734.25,17994.5,17966.25,17317.5,15262,15406,19431,17966.25
79,19445.75,24534.75,20281.5,18529,18963,15084.5,15676,19445.75,18529
80,20276.25,25400.25,21100.75,19869.75,19532.5,15231.25,16850.75,20276.25,19869.75
81,22203.75,26326.5,21039.75,20205.25,19337.25,15127,17539.5,22203.75,20205.25
82,23165.75,26256.75,21402.5,20220.5,18104.5,15034.5,18367.5,23165.75,20220.5
83,24671.75,24674.5,21120.5,21168,17643,15756,16625.75,24671.75,21168
84,23755.25,25844.75,20421.25,22211.5,17012.5,15274,19798.5,23755.25,22211.5
85,22962.25,26202.25,20345.75,22276,17207,15418.75,17151.5,22962.25,22276
86,23167,24680,20058,21511,17630.5,14895.25,17050.25,23167,21511
87,23731.5,24343.75,20319,21143.5,17617,15091,15391.25,23731.5,21143.5
88,25055,24410.5,20978.25,22204,18339.25,15883.5,17269,25055,22204
89,25459.75,25843.25,22849.5,22098.75,18153.25,15962.25,17740.25,25459.75,22098.75
90,25350.5,25476,21354.75,20780,17658,16958.75,18326.75,25350.5,20780
91,24314.75,24109,20489.75,19499.25,17749.75,17696.75,17237.5,24314.75,19499.25
92,23850.75,23576.25,20068.5,18258,17634.5,16650.5,16564.25,23850.75,18258
93,23983.5,22815.75,19296.75,18524.5,17095.25,16892.25,15348.75,23983.5,18524.5
94,24485.75,22167.75,18895.25,18307.5,16806.75,17837.75,16111.75,24485.75,18307.5
95,23762.25,21244.25,18546.5,17724.5,16448,16311,15237.5,23762.25,17724.5
96,23160.25,20668.25,19158,16967.5,16567.75,15579.5,15034.5,23160.25,16967.5
97,22526.25,20801,18413.25,16397.5,16345.75,15427.75,15007.25,22526.25,16397.5
98,22066.5,20821.75,17396.25,15953.5,16296,15676.5,15195.5,22066.5,15953.5
99,22301,20937.5,17917,15147.5,16312,16055.75,15010.5,22301,15147.5
100,22489,20447.75,19057,14654.75,16305,15742,14978.5,22489,14654.75
101,22552.75,20686.25,19490.25,15962.75,16303,15731,15040,22552.75,15962.75
102,23464.25,21967.25,20857.25,16951.5,16336.25,16005.75,15324.5,23464.25,16951.5
103,24740.5,23458,21831.75,17519.25,16309.25,16157.5,15721.5,24740.5,17519.25
104,25905,24318.75,21794,18287.75,16468,16053.75,17800.75,25905,18287.75
105,26528.25,24249,22163.25,17951.75,16738.75,15925.5,17328,26528.25,17951.75
106,26553.25,24386.25,22079.5,17576.25,16829.75,15931.75,18827.75,26553.25,17576.25
107,27525.75,24199,21403,19080.5,17131.5,15898.5,19079.25,27525.75,19080.5
108,28205.5,23509.75,21908,20775.5,16925.75,16113.75,19660.25,28205.5,20775.5
109,27820.75,23692.75,21931,20478.5,16812.75,16226.75,17009.75,27820.75,20478.5
110,28006.75,24278.25,21829.75,20449.25,17090,15776.75,17373.75,28006.75,20449.25
111,28923.75,25106.75,22216.75,19654,17537.5,16593.5,17153.75,28923.75,19654
112,29418,26243.75,24282.75,22116,18642.75,16492.75,18746.75,29418,22116
113,29962.5,26345.75,25782.25,23693,19951.25,18264.5,19673.25,29962.5,23693
114,30850.5,26379.25,25729,23032.75,19249.25,19141.5,18238.75,30850.5,23032.75
115,29900,26432.25,24959,21704.5,19304,19413.75,16324.5,29900,21704.5
