labels,2015,2016,2017,2018,2019,2020,2021,2022
61,21.83398611,11.88329167,16.85822917,18.25104167,15.437625,7.622569444,17.75575,116.515625
62,21.84280556,11.86108333,16.83870833,18.30558333,15.29275,7.549972222,17.8845,116.11875
63,21.851625,11.838875,16.8191875,18.360125,15.147875,7.477375,18.01325,115.721875
64,21.86044444,11.81666667,16.79966667,18.41466667,15.003,7.404777778,18.142,115.325
65,21.86926389,11.79445833,16.78014583,18.46920833,14.858125,7.332180556,18.27075,114.928125
66,21.87808333,11.77225,16.760625,18.52375,14.71325,7.259583333,18.3995,114.53125
67,21.88690278,11.75004167,16.74110417,18.57829167,14.568375,7.186986111,18.52825,114.134375
68,21.89572222,11.72783333,16.72158333,18.63283333,14.4235,7.114388889,18.657,113.7375
69,21.90454167,11.705625,16.7020625,18.687375,14.278625,7.041791667,18.78575,113.340625
70,21.91336111,11.68341667,16.68254167,18.74191667,14.13375,6.969194444,18.9145,112.94375
71,21.92218056,11.66120833,16.66302083,18.79645833,13.988875,6.896597222,19.04325,112.546875
72,21.931,11.639,16.6435,18.851,13.844,6.824,19.172,112.15
73,21.85733333,11.68970833,16.62397917,18.90554167,13.85283333,6.783125,19.31372917,111.5958333
74,21.78366667,11.74041667,16.60445833,18.96008333,13.86166667,6.74225,19.45545833,111.0416667
75,21.71,11.791125,16.5849375,19.014625,13.8705,6.701375,19.5971875,110.4875
76,21.63633333,11.84183333,16.56541667,19.06916667,13.87933333,6.6605,19.73891667,109.9333333
77,21.56266667,11.89254167,16.54589583,19.12370833,13.88816667,6.619625,19.88064583,109.3791667
78,21.489,11.94325,16.526375,19.17825,13.897,6.57875,20.022375,108.825
79,21.41533333,11.99395833,16.50685417,19.23279167,13.90583333,6.537875,20.16410417,108.2708333
80,21.34166667,12.04466667,16.48733333,19.28733333,13.91466667,6.497,20.30583333,107.7166667
81,21.268,12.095375,16.4678125,19.341875,13.9235,6.456125,20.4475625,107.1625
82,21.19433333,12.14608333,16.44829167,19.39641667,13.93233333,6.41525,20.58929167,106.6083333
83,21.12066667,12.19679167,16.42877083,19.45095833,13.94116667,6.374375,20.73102083,106.0541667
84,21.047,12.2475,16.40925,19.5055,13.95,6.3335,20.87275,105.5
85,20.97333333,12.29820833,16.38972917,19.56004167,13.95883333,6.292625,21.01447917,104.9458333
86,20.89966667,12.34891667,16.37020833,19.61458333,13.96766667,6.25175,21.15620833,104.3916667
87,20.826,12.399625,16.3506875,19.669125,13.9765,6.210875,21.2979375,103.8375
88,20.75233333,12.45033333,16.33116667,19.72366667,13.98533333,6.17,21.43966667,103.2833333
89,20.67866667,12.50104167,16.31164583,19.77820833,13.99416667,6.129125,21.58139583,102.7291667
90,20.605,12.55175,16.292125,19.83275,14.003,6.08825,21.723125,102.175
91,20.53133333,12.60245833,16.27260417,19.88729167,14.01183333,6.047375,21.86485417,101.6208333
