time,2015,2016,2017,2018,2019,favorable,adverse
01-03 22:00,53595.0,53871.0,63867.0,64214.0,59680.0,47065.04,59900.96000000001
01-03 23:00,50999.0,50774.0,60060.0,60386.0,56453.0,45129.92,57438.08000000001
01-04 00:00,47737.0,48108.0,56336.0,55745.0,52860.0,42565.6,54174.40000000001
01-04 01:00,43126.0,45557.0,53815.0,53146.0,50246.0,40850.48,51991.520000000004
01-04 02:00,41498.0,44256.0,52477.0,51589.0,49661.0,40339.2,51340.8
01-04 03:00,40695.0,44400.0,52901.0,52106.0,50306.0,40443.92,51474.08
01-04 04:00,40745.0,46207.0,54144.0,53187.0,51597.0,41941.68,53380.32000000001
01-04 05:00,40752.0,50214.0,57262.0,56869.0,54710.0,44886.16,57127.840000000004
01-04 06:00,40365.0,56792.0,64133.0,63464.0,60333.0,50673.92,64494.08000000001
01-04 07:00,43626.0,62842.0,69336.0,68004.0,65139.0,55271.92,70346.08
01-04 08:00,46033.0,65200.0,71204.0,69838.0,67499.0,58111.68,73960.32
01-04 09:00,49463.0,66469.0,72328.0,70289.0,68876.0,59670.16,75943.84000000001
01-04 10:00,52769.0,67736.0,73164.0,71615.0,69674.0,60792.16,77371.84000000001
01-04 11:00,55420.0,68986.0,74225.0,72202.0,70222.0,62342.72,79345.28000000001
01-04 12:00,55351.0,68749.0,73985.0,72001.0,70485.0,62522.24,79573.76000000001
01-04 13:00,54249.0,68598.0,72940.0,71225.0,69824.0,62202.8,79167.20000000001
01-04 14:00,52803.0,67196.0,71632.0,69523.0,67923.0,61239.2,77940.8
01-04 15:00,51828.0,66576.0,70732.0,69021.0,66809.0,61038.56,77685.44
01-04 16:00,55478.0,68772.0,72195.0,71004.0,68756.0,62282.0,79268.00000000001
01-04 17:00,58586.0,71250.0,73863.0,72261.0,70200.0,63445.36,80748.64000000001
01-04 18:00,59190.0,70974.0,73423.0,71696.0,69829.0,63220.96,80463.04000000001
01-04 19:00,58166.0,70136.0,71873.0,70604.0,68391.0,61753.12,78594.88
01-04 20:00,56193.0,66651.0,68961.0,67897.0,64653.0,59254.8,75415.20000000001
01-04 21:00,53620.0,62635.0,65139.0,64667.0,61086.0,56070.96,71363.04000000001
01-04 22:00,54262.0,60596.0,63610.0,62770.0,59457.0,53926.4,68633.6
01-04 23:00,51605.0,56602.0,59682.0,59052.0,55806.0,50607.04,64408.96000000001
01-05 00:00,48010.0,53240.0,55556.0,54537.0,52404.0,47219.92,60098.08000000001
01-05 01:00,45489.0,50509.0,52463.0,52080.0,50122.0,45308.56,57665.44
01-05 02:00,44275.0,49009.0,51170.0,51203.0,48302.0,44143.44,56182.560000000005
