,fit_capacity_factor_2015,fit_capacity_factor_2016,fit_capacity_factor_2017,fit_capacity_factor_2018,fit_capacity_factor_2019,fit_capacity_factor_2020
2001-01-03 9:00,0.487967627,0.41195046,0.376953877,0.806320661,0.181498525,0.43960765
2001-01-03 10:00,0.480655856,0.411209735,0.399024834,0.795814022,0.171565121,0.424506486
2001-01-03 11:00,0.474084046,0.399174063,0.433527707,0.801566719,0.171236738,0.424546873
2001-01-03 12:00,0.469272479,0.390144404,0.474498751,0.812279254,0.182966958,0.426082209
2001-01-03 13:00,0.465086136,0.386016887,0.513664356,0.825493329,0.179773868,0.427545406
2001-01-03 14:00,0.432238376,0.381173763,0.544794666,0.808948226,0.16072682,0.421459376
2001-01-03 15:00,0.395110347,0.375570697,0.579249762,0.813746748,0.164127083,0.448204201
2001-01-03 16:00,0.373028535,0.389626459,0.607734622,0.834378927,0.18516549,0.489192232
2001-01-03 17:00,0.361561693,0.408005414,0.641940972,0.843690889,0.181318181,0.507337249
2001-01-03 18:00,0.368409486,0.422824755,0.677113429,0.851312659,0.161164397,0.498441995
2001-01-03 19:00,0.40502829,0.423575211,0.696385344,0.853215109,0.136617764,0.47789418
2001-01-03 20:00,0.425044636,0.412648909,0.716298466,0.845880811,0.11768795,0.446615336
2001-01-03 21:00,0.43370708,0.406655693,0.733493243,0.838753956,0.109798065,0.439389436
2001-01-03 22:00,0.430125101,0.405156011,0.748727121,0.828819075,0.100863364,0.434589749
2001-01-03 23:00,0.435394938,0.399248805,0.75051925,0.811659819,0.093785498,0.413698919
2001-01-04 0:00,0.447280239,0.394329882,0.754282836,0.790107883,0.089608708,0.404326472
2001-01-04 1:00,0.45770531,0.389366567,0.758845151,0.77106945,0.096929003,0.392966002
2001-01-04 2:00,0.456311634,0.377430157,0.756928943,0.741149924,0.109860597,0.3894413
2001-01-04 3:00,0.462945049,0.36669367,0.754634001,0.707476282,0.127710238,0.407132984
2001-01-04 4:00,0.454440508,0.365603883,0.748512851,0.674900982,0.150062881,0.404651298
2001-01-04 5:00,0.447538877,0.363078818,0.736404251,0.627621958,0.173411144,0.406360204
2001-01-04 6:00,0.441937374,0.35792934,0.734962573,0.569023714,0.193474442,0.422413882
2001-01-04 7:00,0.434803649,0.344708351,0.742782788,0.510018065,0.219475557,0.465111803
2001-01-04 8:00,0.434488446,0.336350942,0.750271643,0.452341682,0.240409516,0.497163662
2001-01-04 9:00,0.430406517,0.329846615,0.752691818,0.402097642,0.254361004,0.531522757
2001-01-04 10:00,0.407847711,0.313576232,0.751564534,0.354272742,0.272821969,0.570598887
2001-01-04 11:00,0.410049246,0.295523517,0.749023503,0.313312808,0.292458853,0.613183697
2001-01-04 12:00,0.410388414,0.276028204,0.736926927,0.297940486,0.312347905,0.643771638
2001-01-04 13:00,0.420200034,0.263641005,0.718395692,0.29382023,0.345752729,0.646949633
2001-01-04 14:00,0.419427289,0.255074527,0.681579539,0.274017244,0.362447764,0.633002084
2001-01-04 15:00,0.415073143,0.245720709,0.621252243,0.290295983,0.374263149,0.603229719
2001-01-04 16:00,0.407593711,0.246012971,0.577373921,0.318049284,0.374631961,0.573085124
2001-01-04 17:00,0.382780553,0.252730612,0.537002632,0.335033962,0.373116557,0.53254838
2001-01-04 18:00,0.362269469,0.252935152,0.504112048,0.370850694,0.371311711,0.496186196
2001-01-04 19:00,0.347135184,0.245489812,0.462720707,0.412309053,0.366347125,0.465978086
2001-01-04 20:00,0.324084499,0.237808348,0.424584112,0.451645142,0.362179636,0.425362331
2001-01-04 21:00,0.295416103,0.22853148,0.407025944,0.486820217,0.363399018,0.369949368
2001-01-04 22:00,0.277537211,0.220180094,0.387611758,0.53532194,0.377586403,0.317371931
2001-01-04 23:00,0.267762083,0.219460714,0.351718446,0.585568483,0.393483425,0.275681322
2001-01-05 0:00,0.271284529,0.218409212,0.332679848,0.62865205,0.407669442,0.236655058
2001-01-05 1:00,0.276052477,0.2207925,0.318253141,0.647874382,0.425649319,0.196329989
2001-01-05 2:00,0.293604382,0.227249829,0.311145403,0.665101349,0.429973618,0.165747446
2001-01-05 3:00,0.297989387,0.236282719,0.30829498,0.686903167,0.450673282,0.147908887
2001-01-05 4:00,0.29869651,0.243183875,0.299062736,0.682504584,0.475038064,0.134458787
2001-01-05 5:00,0.303269734,0.246064735,0.289294117,0.663451424,0.486131126,0.12740938
2001-01-05 6:00,0.314387098,0.247657999,0.27420483,0.647596592,0.49338268,0.118434285
2001-01-05 7:00,0.319446914,0.248871381,0.265345218,0.640999432,0.487008817,0.108562869
2001-01-05 8:00,0.317648374,0.250193414,0.256373007,0.612360437,0.477167329,0.103649643
2001-01-05 9:00,0.325308445,0.250948644,0.240807475,0.557494122,0.444570717,0.098073404
2001-01-05 10:00,0.328307067,0.241665148,0.2657629,0.485224726,0.416551604,0.082719595
2001-01-05 11:00,0.316491211,0.235578698,0.278453259,0.409596678,0.396462627,0.079813667
2001-01-05 12:00,0.300147292,0.233606439,0.265400992,0.368244265,0.387980269,0.086944245
2001-01-05 13:00,0.277696601,0.232088009,0.249208596,0.324666423,0.372140784,0.098071346
2001-01-05 14:00,0.230799601,0.229355985,0.230484265,0.27319406,0.339993934,0.111954364
2001-01-05 15:00,0.204948575,0.229891963,0.205713636,0.232605944,0.327049695,0.13578625
2001-01-05 16:00,0.186574845,0.235291046,0.201490157,0.211598379,0.324450522,0.176381275
2001-01-05 17:00,0.164529929,0.236701151,0.204719737,0.205710166,0.318040261,0.201750338
2001-01-05 18:00,0.141155064,0.235104814,0.192788702,0.201714783,0.301888023,0.218925003
2001-01-05 19:00,0.120915682,0.233199577,0.168236327,0.202077592,0.283227941,0.222644985
2001-01-05 20:00,0.11245616,0.23070589,0.141589672,0.198879554,0.261693143,0.229941351
2001-01-05 21:00,0.100047506,0.228169628,0.116479573,0.19639122,0.24393166,0.231462549
2001-01-05 22:00,0.0858746,0.227608092,0.101080717,0.189219606,0.234490976,0.22903923
2001-01-05 23:00,0.075967828,0.225218614,0.087910269,0.182066248,0.223458507,0.222339024
2001-01-06 0:00,0.06966604,0.220137086,0.07429397,0.182163481,0.217199485,0.219243472
2001-01-06 1:00,0.062237454,0.213516922,0.060852268,0.181035419,0.208910085,0.219945238
2001-01-06 2:00,0.055731781,0.20979252,0.049777802,0.173334411,0.200507578,0.221808215
