hour_of_year;2015;2016;2017;2018;2019;2020
226;76;62;113;121;112;84
227;76;62;113;121;112;84
228;76;62;113;121;112;84
229;76;62;113;121;112;84
230;76;62;113;121;112;84
231;76;62;113;121;112;84
232;76;62;113;121;112;84
233;76;62;113;121;112;84
234;76;62;113;121;112;84
235;76;62;113;121;112;84
236;76;62;113;121;112;84
237;76;62;113;121;112;84
238;76;62;113;121;112;84
239;76;62;113;121;112;84
240;76;62;113;121;112;84
241;76;62;113;121;112;84
242;76;62;113;121;112;84
243;76;62;113;121;112;84
244;76;62;113;121;112;84
245;76;62;113;121;112;84
246;76;62;113;121;112;84
247;76;62;113;121;112;84
248;76;62;113;121;112;84
249;76;62;113;121;112;84
250;76;62;113;121;112;84
251;76;62;113;121;112;84
252;76;62;113;121;112;84
253;76;62;113;121;112;84
254;76;62;113;121;112;84
255;76;62;113;121;112;84
256;76;62;113;121;112;84
257;76;62;113;121;112;84
258;76;62;113;121;112;84
259;76;62;113;121;112;84
260;76;62;113;121;112;84
261;76;62;113;121;112;84
262;76;62;113;121;112;84
263;76;62;113;121;112;84
264;76;62;113;121;112;84
265;76;62;113;121;112;84
266;76;62;113;121;112;84
267;76;62;113;121;112;84
268;76;62;113;121;112;84
269;76;62;113;121;112;84
270;76;62;113;121;112;84
271;76;62;113;121;112;84
272;76;62;113;121;112;84
273;76;62;113;121;112;84
274;76;62;113;121;112;84
275;76;62;113;121;112;84
276;76;62;113;121;112;84
277;76;62;113;121;112;84
278;76;62;113;121;112;84
279;76;62;113;121;112;84
280;76;62;113;121;112;84
281;76;62;113;121;112;84
282;76;62;113;121;112;84
283;76;62;113;121;112;84
284;76;62;113;121;112;84
285;76;62;113;121;112;84
286;76;62;113;121;112;84
287;76;62;113;121;112;84
288;76;62;113;121;112;84
289;76;62;113;121;112;84
290;76;62;113;121;112;84
291;76;62;113;121;112;84
292;76;62;113;121;112;84
293;76;62;113;121;112;84
294;76;62;113;121;112;84
295;76;62;113;121;112;84
296;76;62;113;121;112;84
297;76;62;113;121;112;84
298;76;62;113;121;112;84
299;76;62;113;121;112;84
300;76;62;113;121;112;84
301;76;62;113;121;112;84
302;76;62;113;121;112;84
303;76;62;113;121;112;84
304;76;62;113;121;112;84
305;76;62;113;121;112;84
306;76;62;113;121;112;84
307;76;62;113;121;112;84
308;76;62;113;121;112;84
309;76;62;113;121;112;84
310;76;62;113;121;112;84
311;76;62;113;121;112;84
312;76;62;113;121;112;84
313;76;62;113;121;112;84
314;76;62;113;121;112;84
315;76;62;113;121;112;84
316;76;62;113;121;112;84
317;76;62;113;121;112;84
318;76;62;113;121;112;84
319;76;62;113;121;112;84
320;76;62;113;121;112;84
321;76;62;113;121;112;84
322;76;62;113;121;112;84
323;76;62;113;121;112;84
324;76;62;113;121;112;84
325;76;62;113;121;112;84
326;76;62;113;121;112;84
327;76;62;113;121;112;84
328;76;62;113;121;112;84
329;76;62;113;121;112;84
330;76;62;113;121;112;84
331;76;62;113;121;112;84
332;76;62;113;121;112;84
333;76;62;113;121;112;84
334;76;62;113;121;112;84
335;76;62;113;121;112;84
336;76;62;113;121;112;84
337;76;62;113;121;112;84
338;76;62;113;121;112;84
339;76;62;113;121;112;84
340;76;62;113;121;112;84
341;76;62;113;121;112;84
342;76;62;113;121;112;84
343;76;62;113;121;112;84
344;76;62;113;121;112;84
345;76;62;113;121;112;84
346;76;62;113;121;112;84
347;76;62;113;121;112;84
348;76;62;113;121;112;84
349;76;62;113;121;112;84
350;76;62;113;121;112;84
351;76;62;113;121;112;84
352;76;62;113;121;112;84
353;76;62;113;121;112;84
354;76;62;113;121;112;84
355;76;62;113;121;112;84
356;76;62;113;121;112;84
357;76;62;113;121;112;84
358;76;62;113;121;112;84
359;76;62;113;121;112;84
360;76;62;113;121;112;84
361;76;62;113;121;112;84
362;76;62;113;121;112;84
363;76;62;113;121;112;84
364;76;62;113;121;112;84
365;76;62;113;121;112;84
366;76;62;113;121;112;84
367;76;62;113;121;112;84
368;76;62;113;121;112;84
369;76;62;113;121;112;84
370;76;62;113;121;112;84
371;76;62;113;121;112;84
372;76;62;113;121;112;84
373;76;62;113;121;112;84
374;76;62;113;121;112;84
375;76;62;113;121;112;84
376;76;62;113;121;112;84
377;76;62;113;121;112;84
378;76;62;113;121;112;84
379;76;62;113;121;112;84
380;76;62;113;121;112;84
381;76;62;113;121;112;84
382;76;62;113;121;112;84
383;76;62;113;121;112;84
384;76;62;113;121;112;84
385;76;62;113;121;112;84
386;76;62;113;121;112;84
387;76;62;113;121;112;84
388;76;62;113;121;112;84
389;76;62;113;121;112;84
390;76;62;113;121;112;84
391;76;62;113;121;112;84
392;76;62;113;121;112;84
393;76;62;113;121;112;84
394;76;62;113;121;112;84
395;76;62;113;121;112;84
396;76;62;113;121;112;84
397;76;62;113;121;112;84
398;76;62;113;121;112;84
399;76;62;113;121;112;84
400;76;62;113;121;112;84
401;76;62;113;121;112;84
402;76;62;113;121;112;84
403;76;62;113;121;112;84
404;76;62;113;121;112;84
405;76;62;113;121;112;84
406;76;62;113;121;112;84
407;76;62;113;121;112;84
