hour_of_year;2015;2016;2017;2018;2019;2020
1831;81;59;113;103;111;92
1832;81;59;113;103;111;92
1833;81;59;113;103;111;92
1834;81;59;113;103;111;92
1835;81;59;113;103;111;92
1836;81;59;113;103;111;92
1837;81;59;113;103;111;92
1838;81;59;113;103;111;92
1839;81;59;113;103;111;92
1840;81;59;113;103;111;92
1841;81;59;113;103;111;92
1842;81;59;113;103;111;92
1843;81;59;113;103;111;92
1844;81;59;113;103;111;92
1845;81;59;113;103;111;92
1846;81;59;113;103;111;92
1847;81;59;113;103;111;92
1848;81;59;113;103;111;92
1849;81;59;113;103;111;92
1850;81;59;113;103;111;92
1851;81;59;113;103;111;92
1852;81;59;113;103;111;92
1853;81;59;113;103;111;92
1854;81;59;113;103;111;92
1855;81;59;113;103;111;92
1856;81;59;113;103;111;92
1857;81;59;113;103;111;92
1858;81;59;113;103;111;92
1859;81;59;113;103;111;92
1860;81;59;113;103;111;92
1861;81;59;113;103;111;92
1862;81;59;113;103;111;92
1863;81;59;113;103;111;92
1864;81;59;113;103;111;92
1865;81;59;113;103;111;92
1866;81;59;113;103;111;92
1867;81;59;113;103;111;92
1868;81;59;113;103;111;92
1869;81;59;113;103;111;92
1870;81;59;113;103;111;92
1871;81;59;113;103;111;92
1872;81;59;113;103;111;92
1873;81;59;113;103;111;92
1874;81;59;113;103;111;92
1875;81;59;113;103;111;92
1876;81;59;113;103;111;92
1877;81;59;113;103;111;92
1878;81;59;113;103;111;92
1879;81;59;113;103;111;92
1880;81;59;113;103;111;92
1881;81;59;113;103;111;92
1882;81;59;113;103;111;92
1883;81;59;113;103;111;92
1884;81;59;113;103;111;92
1885;81;59;113;103;111;92
1886;81;59;113;103;111;92
1887;81;59;113;103;111;92
1888;81;59;113;103;111;92
1889;81;59;113;103;111;92
1890;81;59;113;103;111;92
1891;81;59;113;103;111;92
1892;81;59;113;103;111;92
1893;81;59;113;103;111;92
1894;81;59;113;103;111;92
1895;81;59;113;103;111;92
1896;81;59;113;103;111;92
1897;81;59;113;103;111;92
1898;81;59;113;103;111;92
1899;81;59;113;103;111;92
1900;81;59;113;103;111;92
1901;81;59;113;103;111;92
1902;81;59;113;103;111;92
1903;81;59;113;103;111;92
1904;81;59;113;103;111;92
1905;81;59;113;103;111;92
1906;81;59;113;103;111;92
1907;81;59;113;103;111;92
1908;81;59;113;103;111;92
1909;81;59;113;103;111;92
1910;81;59;113;103;111;92
1911;81;59;113;103;111;92
1912;81;59;113;103;111;92
1913;81;59;113;103;111;92
1914;81;59;113;103;111;92
1915;81;59;113;103;111;92
1916;81;59;113;103;111;92
1917;81;59;113;103;111;92
1918;81;59;113;103;111;92
1919;81;59;113;103;111;92
1920;81;59;113;103;111;92
1921;81;59;113;103;111;92
1922;81;59;113;103;111;92
1923;81;59;113;103;111;92
1924;81;59;113;103;111;92
1925;81;59;113;103;111;92
1926;81;59;113;103;111;92
1927;81;59;113;103;111;92
1928;81;59;113;103;111;92
1929;81;59;113;103;111;92
1930;81;59;113;103;111;92
1931;81;59;113;103;111;92
1932;81;59;113;103;111;92
1933;81;59;113;103;111;92
1934;81;59;113;103;111;92
1935;81;59;113;103;111;92
1936;81;59;113;103;111;92
1937;81;59;113;103;111;92
1938;81;59;113;103;111;92
1939;81;59;113;103;111;92
1940;81;59;113;103;111;92
1941;81;59;113;103;111;92
1942;81;59;113;103;111;92
1943;81;59;113;103;111;92
1944;81;59;113;103;111;92
1945;81;59;113;103;111;92
1946;81;59;113;103;111;92
1947;81;59;113;103;111;92
1948;81;59;113;103;111;92
1949;81;59;113;103;111;92
1950;81;59;113;103;111;92
1951;81;59;113;103;111;92
1952;81;59;113;103;111;92
1953;81;59;113;103;111;92
1954;81;59;113;103;111;92
1955;81;59;113;103;111;92
1956;81;59;113;103;111;92
1957;81;59;113;103;111;92
1958;81;59;113;103;111;92
1959;81;59;113;103;111;92
1960;81;59;113;103;111;92
1961;81;59;113;103;111;92
1962;81;59;113;103;111;92
1963;81;59;113;103;111;92
1964;81;59;113;103;111;92
1965;81;59;113;103;111;92
1966;81;59;113;103;111;92
1967;81;59;113;103;111;92
1968;81;59;113;103;111;92
1969;81;59;113;103;111;92
1970;81;59;113;103;111;92
1971;81;59;113;103;111;92
1972;81;59;113;103;111;92
1973;81;59;113;103;111;92
1974;81;59;113;103;111;92
1975;81;59;113;103;111;92
1976;81;59;113;103;111;92
1977;81;59;113;103;111;92
1978;81;59;113;103;111;92
1979;81;59;113;103;111;92
1980;81;59;113;103;111;92
1981;81;59;113;103;111;92
1982;81;59;113;103;111;92
1983;81;59;113;103;111;92
1984;81;59;113;103;111;92
1985;81;59;113;103;111;92
1986;81;59;113;103;111;92
1987;81;59;113;103;111;92
1988;81;59;113;103;111;92
1989;81;59;113;103;111;92
1990;81;59;113;103;111;92
1991;81;59;113;103;111;92
1992;81;59;113;103;111;92
1993;81;59;113;103;111;92
1994;81;59;113;103;111;92
1995;81;59;113;103;111;92
1996;81;59;113;103;111;92
1997;81;59;113;103;111;92
1998;81;59;113;103;111;92
1999;81;59;113;103;111;92
2000;81;59;113;103;111;92
2001;81;59;113;103;111;92
2002;81;59;113;103;111;92
2003;81;59;113;103;111;92
2004;81;59;113;103;111;92
2005;81;59;113;103;111;92
2006;81;59;113;103;111;92
2007;81;59;113;103;111;92
2008;81;59;113;103;111;92
2009;81;59;113;103;111;92
2010;81;59;113;103;111;92
2011;81;59;113;103;111;92
2012;81;59;113;103;111;92
2013;81;59;113;103;111;92
2014;81;59;113;103;111;92
2015;81;59;113;103;111;92
2016;81;59;113;103;111;92
2017;81;59;113;103;111;92
2018;81;59;113;103;111;92
2019;81;59;113;103;111;92
2020;81;59;113;103;111;92
2021;81;59;113;103;111;92
2022;81;59;113;103;111;92
2023;81;59;113;103;111;92
2024;81;59;113;103;111;92
2025;81;59;113;103;111;92
2026;81;59;113;103;111;92
2027;81;59;113;103;111;92
2028;81;59;113;103;111;92
2029;81;59;113;103;111;92
2030;81;59;113;103;111;92
2031;81;59;113;103;111;92
2032;81;59;113;103;111;92
2033;81;59;113;103;111;92
2034;81;59;113;103;111;92
2035;81;59;113;103;111;92
2036;81;59;113;103;111;92
2037;81;59;113;103;111;92
2038;81;59;113;103;111;92
2039;81;59;113;103;111;92
2040;81;59;113;103;111;92
2041;81;59;113;103;111;92
2042;81;59;113;103;111;92
2043;81;59;113;103;111;92
2044;81;59;113;103;111;92
2045;81;59;113;103;111;92
2046;81;59;113;103;111;92
2047;81;59;113;103;111;92
2048;81;59;113;103;111;92
2049;81;59;113;103;111;92
2050;81;59;113;103;111;92
2051;81;59;113;103;111;92
2052;81;59;113;103;111;92
2053;81;59;113;103;111;92
2054;81;59;113;103;111;92
2055;81;59;113;103;111;92
2056;81;59;113;103;111;92
2057;81;59;113;103;111;92
2058;81;59;113;103;111;92
2059;81;59;113;103;111;92
2060;81;59;113;103;111;92
2061;81;59;113;103;111;92
2062;81;59;113;103;111;92
2063;81;59;113;103;111;92
2064;81;59;113;103;111;92
2065;81;59;113;103;111;92
2066;81;59;113;103;111;92
2067;81;59;113;103;111;92
2068;81;59;113;103;111;92
2069;81;59;113;103;111;92
2070;81;59;113;103;111;92
2071;81;59;113;103;111;92
2072;81;59;113;103;111;92
2073;81;59;113;103;111;92
2074;81;59;113;103;111;92
2075;81;59;113;103;111;92
2076;81;59;113;103;111;92
2077;81;59;113;103;111;92
2078;81;59;113;103;111;92
2079;81;59;113;103;111;92
2080;81;59;113;103;111;92
2081;81;59;113;103;111;92
2082;81;59;113;103;111;92
2083;81;59;113;103;111;92
2084;81;59;113;103;111;92
2085;81;59;113;103;111;92
2086;81;59;113;103;111;92
2087;81;59;113;103;111;92
2088;81;59;113;103;111;92
2089;81;59;113;103;111;92
2090;81;59;113;103;111;92
2091;81;59;113;103;111;92
2092;81;59;113;103;111;92
2093;81;59;113;103;111;92
2094;81;59;113;103;111;92
2095;81;59;113;103;111;92
2096;81;59;113;103;111;92
2097;81;59;113;103;111;92
2098;81;59;113;103;111;92
2099;81;59;113;103;111;92
2100;81;59;113;103;111;92
2101;81;59;113;103;111;92
2102;81;59;113;103;111;92
2103;81;59;113;103;111;92
2104;81;59;113;103;111;92
2105;81;59;113;103;111;92
2106;81;59;113;103;111;92
2107;81;59;113;103;111;92
2108;81;59;113;103;111;92
2109;81;59;113;103;111;92
2110;81;59;113;103;111;92
2111;81;59;113;103;111;92
2112;81;59;113;103;112;92
2113;81;59;113;103;112;92
2114;81;59;113;103;112;92
2115;81;59;113;103;112;92
2116;81;59;113;103;112;92
2117;81;59;113;103;112;92
2118;81;59;113;103;112;92
2119;81;59;113;103;112;92
2120;81;59;113;103;112;92
2121;81;59;113;103;112;92
2122;81;59;113;103;112;92
2123;81;59;113;103;112;92
2124;81;59;113;103;112;92
2125;81;59;113;103;112;92
2126;81;59;113;103;112;92
2127;81;59;113;103;112;92
2128;81;59;113;103;112;92
2129;81;59;113;103;112;92
2130;81;59;113;103;112;92
2131;81;59;113;103;112;92
2132;81;59;113;103;112;92
2133;81;59;113;103;112;92
2134;81;59;113;103;112;92
2135;81;59;113;103;112;92
2136;81;59;113;104.3333333;113;92
2137;81;59;113;104.3333333;113;92
2138;81;59;113;104.3333333;113;92
2139;81;59;113;104.3333333;113;92
2140;81;59;113;104.3333333;113;92
2141;81;59;113;104.3333333;113;92
2142;81;59;113;104.3333333;113;92
2143;81;59;113;104.3333333;113;92
2144;81;59;113;104.3333333;113;92
2145;81;59;113;104.3333333;113;92
2146;81;59;113;104.3333333;113;92
2147;81;59;113;104.3333333;113;92
2148;81;59;113;104.3333333;113;92
2149;81;59;113;104.3333333;113;92
2150;81;59;113;104.3333333;113;92
2151;81;59;113;104.3333333;113;92
2152;81;59;113;104.3333333;113;92
2153;81;59;113;104.3333333;113;92
2154;81;59;113;104.3333333;113;92
2155;81;59;113;104.3333333;113;92
2156;81;59;113;104.3333333;113;92
2157;81;59;113;104.3333333;113;92
2158;81;59;113;104.3333333;113;92
2159;81;59;113;104.3333333;113;92
2160;81;59;113;105.6666667;114;92
2161;81;59;113;105.6666667;114;92
2162;81;59;113;105.6666667;114;92
2163;81;59;113;105.6666667;114;92
2164;81;59;113;105.6666667;114;92
2165;81;59;113;105.6666667;114;92
2166;81;59;113;105.6666667;114;92
2167;81;59;113;105.6666667;114;92
2168;81;59;113;105.6666667;114;92
2169;81;59;113;105.6666667;114;92
2170;81;59;113;105.6666667;114;92
2171;81;59;113;105.6666667;114;92
2172;81;59;113;105.6666667;114;92
2173;81;59;113;105.6666667;114;92
2174;81;59;113;105.6666667;114;92
2175;81;59;113;105.6666667;114;92
2176;81;59;113;105.6666667;114;92
2177;81;59;113;105.6666667;114;92
2178;81;59;113;105.6666667;114;92
2179;81;59;113;105.6666667;114;92
2180;81;59;113;105.6666667;114;92
2181;81;59;113;105.6666667;114;92
2182;81;59;113;105.6666667;114;92
2183;81;59;113;105.6666667;114;92
2184;81;59;114;107;114;95
2185;81;59;114;107;114;95
2186;81;59;114;107;114;95
2187;81;59;114;107;114;95
2188;81;59;114;107;114;95
2189;81;59;114;107;114;95
2190;81;59;114;107;114;95
2191;81;59;114;107;114;95
2192;81;59;114;107;114;95
2193;81;59;114;107;114;95
2194;81;59;114;107;114;95
2195;81;59;114;107;114;95
2196;81;59;114;107;114;95
2197;81;59;114;107;114;95
2198;81;59;114;107;114;95
2199;81;59;114;107;114;95
2200;81;59;114;107;114;95
2201;81;59;114;107;114;95
2202;81;59;114;107;114;95
2203;81;59;114;107;114;95
2204;81;59;114;107;114;95
2205;81;59;114;107;114;95
2206;81;59;114;107;114;95
2207;81;59;114;107;114;95
2208;81;59;114;107;114;95
2209;81;59;114;107;114;95
2210;81;59;114;107;114;95
2211;81;59;114;107;114;95
2212;81;59;114;107;114;95
2213;81;59;114;107;114;95
2214;81;59;114;107;114;95
2215;81;59;114;107;114;95
2216;81;59;114;107;114;95
2217;81;59;114;107;114;95
2218;81;59;114;107;114;95
2219;81;59;114;107;114;95
2220;81;59;114;107;114;95
2221;81;59;114;107;114;95
2222;81;59;114;107;114;95
2223;81;59;114;107;114;95
2224;81;59;114;107;114;95
2225;81;59;114;107;114;95
2226;81;59;114;107;114;95
2227;81;59;114;107;114;95
2228;81;59;114;107;114;95
2229;81;59;114;107;114;95
2230;81;59;114;107;114;95
2231;81;59;114;107;114;95
2232;81;59;114;107;114;95
2233;81;59;114;107;114;95
2234;81;59;114;107;114;95
2235;81;59;114;107;114;95
2236;81;59;114;107;114;95
2237;81;59;114;107;114;95
2238;81;59;114;107;114;95
2239;81;59;114;107;114;95
2240;81;59;114;107;114;95
2241;81;59;114;107;114;95
2242;81;59;114;107;114;95
2243;81;59;114;107;114;95
2244;81;59;114;107;114;95
2245;81;59;114;107;114;95
2246;81;59;114;107;114;95
2247;81;59;114;107;114;95
2248;81;59;114;107;114;95
2249;81;59;114;107;114;95
2250;81;59;114;107;114;95
2251;81;59;114;107;114;95
2252;81;59;114;107;114;95
2253;81;59;114;107;114;95
2254;81;59;114;107;114;95
2255;81;59;114;107;114;95
2256;81;59;114;107;114;95
2257;81;59;114;107;114;95
2258;81;59;114;107;114;95
2259;81;59;114;107;114;95
2260;81;59;114;107;114;95
2261;81;59;114;107;114;95
2262;81;59;114;107;114;95
2263;81;59;114;107;114;95
2264;81;59;114;107;114;95
2265;81;59;114;107;114;95
2266;81;59;114;107;114;95
2267;81;59;114;107;114;95
2268;81;59;114;107;114;95
2269;81;59;114;107;114;95
2270;81;59;114;107;114;95
2271;81;59;114;107;114;95
2272;81;59;114;107;114;95
2273;81;59;114;107;114;95
2274;81;59;114;107;114;95
2275;81;59;114;107;114;95
2276;81;59;114;107;114;95
2277;81;59;114;107;114;95
2278;81;59;114;107;114;95
2279;81;59;114;107;114;95
2280;81;59;114;107;114;95
2281;81;59;114;107;114;95
2282;81;59;114;107;114;95
2283;81;59;114;107;114;95
2284;81;59;114;107;114;95
2285;81;59;114;107;114;95
2286;81;59;114;107;114;95
2287;81;59;114;107;114;95
2288;81;59;114;107;114;95
2289;81;59;114;107;114;95
2290;81;59;114;107;114;95
2291;81;59;114;107;114;95
2292;81;59;114;107;114;95
2293;81;59;114;107;114;95
2294;81;59;114;107;114;95
2295;81;59;114;107;114;95
2296;81;59;114;107;114;95
2297;81;59;114;107;114;95
2298;81;59;114;107;114;95
2299;81;59;114;107;114;95
2300;81;59;114;107;114;95
2301;81;59;114;107;114;95
2302;81;59;114;107;114;95
2303;81;59;114;107;114;95
2304;81;59;114;107;114;95
2305;81;59;114;107;114;95
2306;81;59;114;107;114;95
2307;81;59;114;107;114;95
2308;81;59;114;107;114;95
2309;81;59;114;107;114;95
2310;81;59;114;107;114;95
2311;81;59;114;107;114;95
2312;81;59;114;107;114;95
2313;81;59;114;107;114;95
2314;81;59;114;107;114;95
2315;81;59;114;107;114;95
2316;81;59;114;107;114;95
2317;81;59;114;107;114;95
2318;81;59;114;107;114;95
2319;81;59;114;107;114;95
2320;81;59;114;107;114;95
2321;81;59;114;107;114;95
2322;81;59;114;107;114;95
2323;81;59;114;107;114;95
2324;81;59;114;107;114;95
2325;81;59;114;107;114;95
2326;81;59;114;107;114;95
2327;81;59;114;107;114;95
2328;81;59;114;107;114;95
2329;81;59;114;107;114;95
2330;81;59;114;107;114;95
2331;81;59;114;107;114;95
2332;81;59;114;107;114;95
2333;81;59;114;107;114;95
2334;81;59;114;107;114;95
2335;81;59;114;107;114;95
2336;81;59;114;107;114;95
2337;81;59;114;107;114;95
2338;81;59;114;107;114;95
2339;81;59;114;107;114;95
2340;81;59;114;107;114;95
2341;81;59;114;107;114;95
2342;81;59;114;107;114;95
2343;81;59;114;107;114;95
2344;81;59;114;107;114;95
2345;81;59;114;107;114;95
2346;81;59;114;107;114;95
2347;81;59;114;107;114;95
2348;81;59;114;107;114;95
2349;81;59;114;107;114;95
2350;81;59;114;107;114;95
2351;81;59;114;107;114;95
2352;81;59;114;107;114;95
2353;81;59;114;107;114;95
2354;81;59;114;107;114;95
2355;81;59;114;107;114;95
2356;81;59;114;107;114;95
2357;81;59;114;107;114;95
2358;81;59;114;107;114;95
2359;81;59;114;107;114;95
2360;81;59;114;107;114;95
2361;81;59;114;107;114;95
2362;81;59;114;107;114;95
2363;81;59;114;107;114;95
2364;81;59;114;107;114;95
2365;81;59;114;107;114;95
2366;81;59;114;107;114;95
2367;81;59;114;107;114;95
2368;81;59;114;107;114;95
2369;81;59;114;107;114;95
2370;81;59;114;107;114;95
2371;81;59;114;107;114;95
2372;81;59;114;107;114;95
2373;81;59;114;107;114;95
2374;81;59;114;107;114;95
2375;81;59;114;107;114;95
2376;81;59;114;107;114;95
2377;81;59;114;107;114;95
2378;81;59;114;107;114;95
2379;81;59;114;107;114;95
2380;81;59;114;107;114;95
2381;81;59;114;107;114;95
2382;81;59;114;107;114;95
2383;81;59;114;107;114;95
2384;81;59;114;107;114;95
2385;81;59;114;107;114;95
2386;81;59;114;107;114;95
2387;81;59;114;107;114;95
2388;81;59;114;107;114;95
2389;81;59;114;107;114;95
2390;81;59;114;107;114;95
2391;81;59;114;107;114;95
2392;81;59;114;107;114;95
2393;81;59;114;107;114;95
2394;81;59;114;107;114;95
2395;81;59;114;107;114;95
2396;81;59;114;107;114;95
2397;81;59;114;107;114;95
2398;81;59;114;107;114;95
2399;81;59;114;107;114;95
2400;81;59;114;107;114;95
2401;81;59;114;107;114;95
2402;81;59;114;107;114;95
2403;81;59;114;107;114;95
2404;81;59;114;107;114;95
2405;81;59;114;107;114;95
2406;81;59;114;107;114;95
2407;81;59;114;107;114;95
2408;81;59;114;107;114;95
2409;81;59;114;107;114;95
2410;81;59;114;107;114;95
2411;81;59;114;107;114;95
2412;81;59;114;107;114;95
2413;81;59;114;107;114;95
2414;81;59;114;107;114;95
2415;81;59;114;107;114;95
2416;81;59;114;107;114;95
2417;81;59;114;107;114;95
2418;81;59;114;107;114;95
2419;81;59;114;107;114;95
2420;81;59;114;107;114;95
2421;81;59;114;107;114;95
2422;81;59;114;107;114;95
2423;81;59;114;107;114;95
2424;81;59;114;107;114;95
2425;81;59;114;107;114;95
2426;81;59;114;107;114;95
2427;81;59;114;107;114;95
2428;81;59;114;107;114;95
2429;81;59;114;107;114;95
2430;81;59;114;107;114;95
2431;81;59;114;107;114;95
2432;81;59;114;107;114;95
2433;81;59;114;107;114;95
2434;81;59;114;107;114;95
2435;81;59;114;107;114;95
2436;81;59;114;107;114;95
2437;81;59;114;107;114;95
2438;81;59;114;107;114;95
2439;81;59;114;107;114;95
2440;81;59;114;107;114;95
2441;81;59;114;107;114;95
2442;81;59;114;107;114;95
2443;81;59;114;107;114;95
2444;81;59;114;107;114;95
2445;81;59;114;107;114;95
2446;81;59;114;107;114;95
2447;81;59;114;107;114;95
2448;81;59;114;107;114;95
2449;81;59;114;107;114;95
2450;81;59;114;107;114;95
2451;81;59;114;107;114;95
2452;81;59;114;107;114;95
2453;81;59;114;107;114;95
2454;81;59;114;107;114;95
2455;81;59;114;107;114;95
2456;81;59;114;107;114;95
2457;81;59;114;107;114;95
2458;81;59;114;107;114;95
2459;81;59;114;107;114;95
2460;81;59;114;107;114;95
2461;81;59;114;107;114;95
2462;81;59;114;107;114;95
2463;81;59;114;107;114;95
2464;81;59;114;107;114;95
2465;81;59;114;107;114;95
2466;81;59;114;107;114;95
2467;81;59;114;107;114;95
2468;81;59;114;107;114;95
2469;81;59;114;107;114;95
2470;81;59;114;107;114;95
2471;81;59;114;107;114;95
2472;81;59;114;107;114;95
2473;81;59;114;107;114;95
2474;81;59;114;107;114;95
2475;81;59;114;107;114;95
2476;81;59;114;107;114;95
2477;81;59;114;107;114;95
2478;81;59;114;107;114;95
2479;81;59;114;107;114;95
2480;81;59;114;107;114;95
2481;81;59;114;107;114;95
2482;81;59;114;107;114;95
2483;81;59;114;107;114;95
2484;81;59;114;107;114;95
2485;81;59;114;107;114;95
2486;81;59;114;107;114;95
2487;81;59;114;107;114;95
2488;81;59;114;107;114;95
2489;81;59;114;107;114;95
2490;81;59;114;107;114;95
2491;81;59;114;107;114;95
2492;81;59;114;107;114;95
2493;81;59;114;107;114;95
2494;81;59;114;107;114;95
2495;81;59;114;107;114;95
2496;81;59;114;107;114;95
2497;81;59;114;107;114;95
2498;81;59;114;107;114;95
2499;81;59;114;107;114;95
2500;81;59;114;107;114;95
2501;81;59;114;107;114;95
2502;81;59;114;107;114;95
2503;81;59;114;107;114;95
2504;81;59;114;107;114;95
2505;81;59;114;107;114;95
2506;81;59;114;107;114;95
2507;81;59;114;107;114;95
2508;81;59;114;107;114;95
2509;81;59;114;107;114;95
2510;81;59;114;107;114;95
2511;81;59;114;107;114;95
2512;81;59;114;107;114;95
2513;81;59;114;107;114;95
2514;81;59;114;107;114;95
2515;81;59;114;107;114;95
2516;81;59;114;107;114;95
2517;81;59;114;107;114;95
2518;81;59;114;107;114;95
2519;81;59;114;107;114;95
2520;81;59;114;107;114;95
2521;81;59;114;107;114;95
2522;81;59;114;107;114;95
2523;81;59;114;107;114;95
2524;81;59;114;107;114;95
2525;81;59;114;107;114;95
2526;81;59;114;107;114;95
2527;81;59;114;107;114;95
2528;81;59;114;107;114;95
2529;81;59;114;107;114;95
2530;81;59;114;107;114;95
2531;81;59;114;107;114;95
2532;81;59;114;107;114;95
2533;81;59;114;107;114;95
2534;81;59;114;107;114;95
2535;81;59;114;107;114;95
2536;81;59;114;107;114;95
2537;81;59;114;107;114;95
2538;81;59;114;107;114;95
2539;81;59;114;107;114;95
2540;81;59;114;107;114;95
2541;81;59;114;107;114;95
2542;81;59;114;107;114;95
2543;81;59;114;107;114;95
2544;81;59;114;107;114;95
2545;81;59;114;107;114;95
2546;81;59;114;107;114;95
2547;81;59;114;107;114;95
2548;81;59;114;107;114;95
2549;81;59;114;107;114;95
2550;81;59;114;107;114;95
2551;81;59;114;107;114;95
2552;81;59;114;107;114;95
2553;81;59;114;107;114;95
2554;81;59;114;107;114;95
2555;81;59;114;107;114;95
2556;81;59;114;107;114;95
2557;81;59;114;107;114;95
2558;81;59;114;107;114;95
2559;81;59;114;107;114;95
2560;81;59;114;107;114;95
2561;81;59;114;107;114;95
2562;81;59;114;107;114;95
2563;81;59;114;107;114;95
2564;81;59;114;107;114;95
2565;81;59;114;107;114;95
2566;81;59;114;107;114;95
2567;81;59;114;107;114;95
2568;81;59;114;107;114;95
2569;81;59;114;107;114;95
2570;81;59;114;107;114;95
2571;81;59;114;107;114;95
2572;81;59;114;107;114;95
2573;81;59;114;107;114;95
2574;81;59;114;107;114;95
2575;81;59;114;107;114;95
2576;81;59;114;107;114;95
2577;81;59;114;107;114;95
2578;81;59;114;107;114;95
2579;81;59;114;107;114;95
2580;81;59;114;107;114;95
2581;81;59;114;107;114;95
2582;81;59;114;107;114;95
2583;81;59;114;107;114;95
2584;81;59;114;107;114;95
2585;81;59;114;107;114;95
2586;81;59;114;107;114;95
2587;81;59;114;107;114;95
2588;81;59;114;107;114;95
2589;81;59;114;107;114;95
2590;81;59;114;107;114;95
2591;81;59;114;107;114;95
2592;81;59;114;107;114;95
2593;81;59;114;107;114;95
2594;81;59;114;107;114;95
2595;81;59;114;107;114;95
2596;81;59;114;107;114;95
2597;81;59;114;107;114;95
2598;81;59;114;107;114;95
2599;81;59;114;107;114;95
2600;81;59;114;107;114;95
2601;81;59;114;107;114;95
2602;81;59;114;107;114;95
2603;81;59;114;107;114;95
2604;81;59;114;107;114;95
2605;81;59;114;107;114;95
2606;81;59;114;107;114;95
2607;81;59;114;107;114;95
2608;81;59;114;107;114;95
2609;81;59;114;107;114;95
2610;81;59;114;107;114;95
2611;81;59;114;107;114;95
2612;81;59;114;107;114;95
2613;81;59;114;107;114;95
2614;81;59;114;107;114;95
2615;81;59;114;107;114;95
2616;81;59;114;107;114;95
2617;81;59;114;107;114;95
2618;81;59;114;107;114;95
2619;81;59;114;107;114;95
2620;81;59;114;107;114;95
2621;81;59;114;107;114;95
2622;81;59;114;107;114;95
2623;81;59;114;107;114;95
2624;81;59;114;107;114;95
2625;81;59;114;107;114;95
2626;81;59;114;107;114;95
2627;81;59;114;107;114;95
2628;81;59;114;107;114;95
2629;81;59;114;107;114;95
2630;81;59;114;107;114;95
2631;81;59;114;107;114;95
2632;81;59;114;107;114;95
2633;81;59;114;107;114;95
2634;81;59;114;107;114;95
2635;81;59;114;107;114;95
2636;81;59;114;107;114;95
2637;81;59;114;107;114;95
2638;81;59;114;107;114;95
2639;81;59;114;107;114;95
2640;81;59;114;107;114;95
2641;81;59;114;107;114;95
2642;81;59;114;107;114;95
2643;81;59;114;107;114;95
2644;81;59;114;107;114;95
2645;81;59;114;107;114;95
2646;81;59;114;107;114;95
2647;81;59;114;107;114;95
2648;81;59;114;107;114;95
2649;81;59;114;107;114;95
2650;81;59;114;107;114;95
2651;81;59;114;107;114;95
2652;81;59;114;107;114;95
2653;81;59;114;107;114;95
2654;81;59;114;107;114;95
2655;81;59;114;107;114;95
2656;81;59;114;107;114;95
2657;81;59;114;107;114;95
2658;81;59;114;107;114;95
2659;81;59;114;107;114;95
2660;81;59;114;107;114;95
2661;81;59;114;107;114;95
2662;81;59;114;107;114;95
2663;81;59;114;107;114;95
2664;81;59;114;107;114;95
2665;81;59;114;107;114;95
2666;81;59;114;107;114;95
2667;81;59;114;107;114;95
2668;81;59;114;107;114;95
2669;81;59;114;107;114;95
2670;81;59;114;107;114;95
2671;81;59;114;107;114;95
2672;81;59;114;107;114;95
2673;81;59;114;107;114;95
2674;81;59;114;107;114;95
2675;81;59;114;107;114;95
2676;81;59;114;107;114;95
2677;81;59;114;107;114;95
2678;81;59;114;107;114;95
2679;81;59;114;107;114;95
2680;81;59;114;107;114;95
2681;81;59;114;107;114;95
2682;81;59;114;107;114;95
2683;81;59;114;107;114;95
2684;81;59;114;107;114;95
2685;81;59;114;107;114;95
2686;81;59;114;107;114;95
2687;81;59;114;107;114;95
2688;81;59;114;107;114;95
2689;81;59;114;107;114;95
2690;81;59;114;107;114;95
2691;81;59;114;107;114;95
2692;81;59;114;107;114;95
2693;81;59;114;107;114;95
2694;81;59;114;107;114;95
2695;81;59;114;107;114;95
2696;81;59;114;107;114;95
2697;81;59;114;107;114;95
2698;81;59;114;107;114;95
2699;81;59;114;107;114;95
2700;81;59;114;107;114;95
2701;81;59;114;107;114;95
2702;81;59;114;107;114;95
2703;81;59;114;107;114;95
2704;81;59;114;107;114;95
2705;81;59;114;107;114;95
2706;81;59;114;107;114;95
2707;81;59;114;107;114;95
2708;81;59;114;107;114;95
2709;81;59;114;107;114;95
2710;81;59;114;107;114;95
2711;81;59;114;107;114;95
2712;81;59;114;107;114;95
2713;81;59;114;107;114;95
2714;81;59;114;107;114;95
2715;81;59;114;107;114;95
2716;81;59;114;107;114;95
2717;81;59;114;107;114;95
2718;81;59;114;107;114;95
2719;81;59;114;107;114;95
2720;81;59;114;107;114;95
2721;81;59;114;107;114;95
2722;81;59;114;107;114;95
2723;81;59;114;107;114;95
2724;81;59;114;107;114;95
2725;81;59;114;107;114;95
2726;81;59;114;107;114;95
2727;81;59;114;107;114;95
2728;81;59;114;107;114;95
2729;81;59;114;107;114;95
2730;81;59;114;107;114;95
2731;81;59;114;107;114;95
2732;81;59;114;107;114;95
2733;81;59;114;107;114;95
2734;81;59;114;107;114;95
2735;81;59;114;107;114;95
2736;81;59;114;107;114;95
2737;81;59;114;107;114;95
2738;81;59;114;107;114;95
2739;81;59;114;107;114;95
2740;81;59;114;107;114;95
2741;81;59;114;107;114;95
2742;81;59;114;107;114;95
2743;81;59;114;107;114;95
2744;81;59;114;107;114;95
2745;81;59;114;107;114;95
2746;81;59;114;107;114;95
2747;81;59;114;107;114;95
2748;81;59;114;107;114;95
